threshold,ticker,trade_type,sim_exit_time,sim_exit_price,sim_return_pct,sim_duration_minutes,actual_exit_time,actual_exit_price,actual_return_pct,actual_duration_minutes,return_delta_pct,duration_delta_minutes,was_winner,is_winner,outcome_changed,macd_peak_valley,macd_exit_level,original_index
0.5,SUNPHARMA,Buy,2024-01-01 09:15:00,1260.3,0.0,0.0,2024-01-01 09:35:00,1252.7,-0.6030310243592724,20.0,0.6030310243592724,-20.0,False,False,False,-0.0181875276707614,-0.0090937638353807,0
0.5,SUNPHARMA,Buy,2024-01-01 12:50:00,1257.75,-0.08341277407053976,60.0,2024-01-01 12:50:00,1257.75,-0.0834127740705397,60.0,-6.938893903907228e-17,0.0,False,False,False,0.3757402297803764,0.1878701148901882,3
0.5,SUNPHARMA,Buy,2024-01-01 15:15:00,1260.0,-0.00793587810490509,65.0,2024-01-01 15:15:00,1260.0,-0.007935878104905,65.0,-9.020562075079397e-17,0.0,False,False,False,0.9423995127763192,0.4711997563881596,6
0.5,SUNPHARMA,Buy,2024-01-02 11:05:00,1287.95,0.8258963519649252,105.0,2024-01-02 11:05:00,1287.95,0.8258963519649252,105.0,0.0,0.0,True,True,False,7.9992710303884,3.9996355151942,7
0.5,SUNPHARMA,Buy,2024-01-02 13:35:00,1293.9,-0.12350443844074943,20.0,2024-01-02 13:35:00,1293.9,-0.1235044384407494,20.0,-2.7755575615628914e-17,0.0,False,False,False,7.975149124147492,3.987574562073746,8
0.5,SUNPHARMA,Buy,2024-01-02 13:50:00,1294.45,-0.1273049918987627,10.0,2024-01-02 13:50:00,1294.45,-0.1273049918987627,10.0,0.0,0.0,False,False,False,7.97083853434674,3.98541926717337,9
0.5,SUNPHARMA,Buy,2024-01-04 12:20:00,1324.65,1.6186567450423948,160.0,2024-01-04 12:20:00,1324.65,1.6186567450423948,160.0,0.0,0.0,True,True,False,7.542793378040869,3.7713966890204347,10
0.5,SUNPHARMA,Buy,2024-01-08 10:35:00,1305.75,-0.2482811306340718,75.0,2024-01-08 10:35:00,1305.75,-0.2482811306340718,75.0,0.0,0.0,False,False,False,1.450254443795984,0.725127221897992,12
0.5,SUNPHARMA,Buy,2024-01-08 15:15:00,1306.1,0.19946298427310388,40.0,2024-01-08 15:15:00,1306.1,0.1994629842731038,40.0,8.326672684688674e-17,0.0,True,True,False,0.7609790111537222,0.3804895055768611,14
0.5,SUNPHARMA,Buy,2024-01-09 10:20:00,1309.0,0.030567018187382777,65.0,2024-01-09 10:20:00,1309.0,0.0305670181873827,65.0,7.632783294297951e-17,0.0,True,True,False,2.2215753936243345,1.1107876968121673,15
0.5,SUNPHARMA,Buy,2024-01-09 11:50:00,1321.75,0.29213142120038765,65.0,2024-01-09 11:50:00,1321.75,0.2921314212003876,65.0,5.551115123125783e-17,0.0,True,True,False,5.350849523208353,2.6754247616041766,16
