trade_type,threshold,total_windows,avg_win_rate,avg_profit_factor,avg_sharpe_ratio,cv_win_rate_pct,cv_profit_factor_pct,cv_sharpe_ratio_pct,windows_meeting_wr_target,windows_meeting_pf_target,windows_meeting_sharpe_target,consistency_rate_pct,windows_where_optimal,optimal_rate_pct,min_win_rate,max_win_rate,win_rate_range
Buy,0.95,12,53.77561267956477,2.6661697052939335,4.349361518381346,2.2793788043244048,14.695586155066056,12.859952739105477,11,12,12,97.22222222222221,12,100.0,51.301684532924966,55.5366269165247,4.234942383599737
Sell,0.95,12,52.810713438155176,2.653151522556029,4.105680449900482,5.193634418836274,16.170769667488514,25.182788858171314,7,12,12,86.11111111111111,12,100.0,49.127906976744185,57.51633986928104,8.388432892536855
