Trade Type,Entry Time,Entry Price,High During Trade,Low During Trade,High Time,Low Time,Exit Time,Exit Price,Profit (Currency),Profit (%),Trade Duration (min),PnL,Target (%),Drawdown (%),RRR,Recovery Time (min),ticker,strategy_generated,risk_processed,percentage_return,entry_open,entry_high,entry_low,entry_close,entry_volume,entry_timestamp,exit_open,exit_high,exit_low,exit_close,exit_volume,exit_timestamp,trade_duration_minutes,trade_intervals,entry_time_alignment_seconds,exit_time_alignment_seconds,entry_5m_macd_line,exit_5m_macd_line,5m_macd_line_change,entry_5m_signal_line,exit_5m_signal_line,5m_signal_line_change,entry_5m_macd_hist,exit_5m_macd_hist,5m_macd_hist_change,entry_5m_ema_9,exit_5m_ema_9,5m_ema_9_change,entry_5m_ema_20,exit_5m_ema_20,5m_ema_20_change,entry_15m_macd_line,exit_15m_macd_line,15m_macd_line_change,entry_15m_signal_line,exit_15m_signal_line,15m_signal_line_change,entry_15m_macd_hist,exit_15m_macd_hist,15m_macd_hist_change,entry_15m_ema_9,exit_15m_ema_9,15m_ema_9_change,entry_15m_ema_20,exit_15m_ema_20,15m_ema_20_change,entry_entry_signal_buy,exit_entry_signal_buy,entry_entry_signal_sell,exit_entry_signal_sell,entry_exit_signal_buy,exit_exit_signal_buy,entry_exit_signal_sell,exit_exit_signal_sell,MFE_pct,MAE_pct,MFE_Capture_Ratio,Exit_Efficiency_Score,Potential_Left_on_Table_pct,MAE_MFE_Ratio
Buy,2024-01-01 09:15:00,1260.3,1262.7,1252.7,2024-01-01 09:20:00+05:30,2024-01-01 09:35:00+05:30,2024-01-01 09:35:00,1252.7,-7.599999999999909,-0.6030310243592724,20.0,0.0,0.19,0.6,-1.0,0.0,SUNPHARMA,True,False,-0.6030310243592724,1261.0,1262.1,1256.4,1260.3,16102,2024-01-01 09:15:00,1255.75,1256.15,1252.7,1252.7,9344,2024-01-01 09:35:00,20.0,4,0.0,0.0,1.0681016364178504,0.214551042236053,-0.8535505941817974,0.6128934940176876,0.6914535566198411,0.07856006260215354,0.4552081424001628,-0.476902514383788,-0.9321106567839508,1259.2399865341397,1257.5931784843838,-1.6468080497559185,1258.017999515362,1257.6623820056536,-0.35561750970828143,-0.0181875276707614,-0.3034467374909582,-0.2852592098201968,-0.3671722191849262,-0.3544271228461327,0.012745096338793505,0.3489846915141648,0.0509803853551745,-0.29800430615899026,1257.7978317148993,1257.0482653719196,-0.7495663429797332,1257.66590594681,1257.3215339518756,-0.3443719949343631,True,False,False,False,False,True,False,False,0.28961358406729276,0.6030310243592724,-208.21917808218413,-312.3287671232762,0.8926446084265651,2.0821917808218413
Sell,2024-01-01 09:50:00,1254.2,1257.1,1253.1,2024-01-01 10:15:00+05:30,2024-01-01 09:55:00+05:30,2024-01-01 10:20:00,1257.05,-2.849999999999909,-0.2272364854090184,30.0,0.0,0.09,0.23,-0.98,5.0,SUNPHARMA,True,False,-0.2272364854090184,1253.45,1254.65,1253.2,1254.2,6710,2024-01-01 09:50:00,1257.1,1257.25,1256.3,1257.05,17643,2024-01-01 10:20:00,30.0,6,0.0,0.0,-0.5529940850396997,-0.4623168749972137,0.09067721004248602,0.1686882148537188,-0.48230910364757,-0.6509973185012888,-0.7216822998934185,0.0199922286503562,0.7416745285437747,1255.7981073840049,1255.6609726620732,-0.13713472193171583,1256.6880334927955,1256.0527996110034,-0.6352338817921463,-0.599265813703596,-0.5065710339472389,0.09269477975635709,-0.4033948610176254,-0.4562597877272821,-0.0528649267096567,-0.1958709526859705,-0.0503112462199567,0.1455597064660138,1256.2586122975358,1256.351511870423,0.09289957288729056,1256.919483099316,1256.839758274043,-0.07972482527293323,False,False,True,True,False,False,False,True,0.11959815021527667,0.26311593047360504,-189.99999999999392,-299.9999999999924,0.34683463562429506,2.1999999999999695
Sell,2024-01-01 10:45:00,1254.6,1255.6,1254.6,2024-01-01 11:05:00+05:30,2024-01-01 10:45:00+05:30,2024-01-01 11:20:00,1255.35,-0.75,-0.0597800095648015,35.0,0.0,0.0,0.08,-0.75,15.0,SUNPHARMA,True,False,-0.0597800095648015,1254.35,1255.0,1253.8,1254.6,4426,2024-01-01 10:45:00,1255.45,1256.05,1255.15,1255.35,3244,2024-01-01 11:20:00,35.0,7,0.0,0.0,-0.4973250730179188,-0.3197759576846692,0.17754911533324957,-0.4196699099880602,-0.3939865410309788,0.0256833689570814,-0.0776551630298586,0.0742105833463095,0.15186574637616812,1255.2882035219086,1255.298819539238,0.010616017329311944,1255.7497697691622,1255.5105452762475,-0.23922449291467274,-0.7024505696608685,-0.6826468070662486,0.01980376259461991,-0.5385972614953828,-0.5947191807154831,-0.05612191922010035,-0.1638533081654857,-0.0879276263507654,0.07592568181472031,1255.712967597071,1255.5882992621257,-0.12466833494522689,1256.4241558660533,1256.2306582032772,-0.1934976627760534,False,False,True,False,False,False,False,True,0.06376534353578467,0.11557468515861992,-93.75000000000529,-184.3750000000133,0.12354535310058617,1.81250000000016
Buy,2024-01-01 11:50:00,1258.8,1260.95,1257.75,2024-01-01 12:05:00+05:30,2024-01-01 12:50:00+05:30,2024-01-01 12:50:00,1257.75,-1.0499999999999543,-0.0834127740705397,60.0,0.0,0.17,0.08,-1.0,0.0,SUNPHARMA,True,False,-0.0834127740705397,1258.2,1259.5,1257.5,1258.8,3412,2024-01-01 11:50:00,1258.2,1258.4,1257.15,1257.75,7672,2024-01-01 12:50:00,60.0,12,0.0,0.0,0.4643614431158767,0.6020713954178518,0.13770995230197514,0.0150245767166375,0.7824775604589965,0.767452983742359,0.4493368663992391,-0.1804061650411447,-0.6297430314403838,1257.0896617492945,1258.6126501957017,1.5229884464072256,1256.410243324534,1258.215814996076,1.8055716715421113,-0.1552092667291162,0.2953402132920928,0.450549480021209,-0.4786476787310927,-0.0165756994897126,0.4620719792413801,0.3234384120019764,0.3119159127818054,-0.011522499220171012,1256.7485115277605,1257.812910321771,1.064398794010458,1256.6951646516625,1257.3658102980205,0.6706456463580253,True,False,False,False,False,True,False,False,0.20654591674611825,0.13107721639655734,-40.384615384611486,-72.11538461537643,0.2899586908166579,0.6346153846152989
Sell,2024-01-01 13:35:00,1255.75,1257.25,1255.6,2024-01-01 13:50:00+05:30,2024-01-01 13:40:00+05:30,2024-01-01 13:50:00,1257.25,-1.5,-0.1194505275731634,15.0,0.0,0.01,0.12,-1.0,0.0,SUNPHARMA,True,False,-0.1194505275731634,1256.05,1256.5,1255.0,1255.75,7165,2024-01-01 13:35:00,1257.0,1257.75,1256.35,1257.25,8141,2024-01-01 13:50:00,15.0,3,0.0,0.0,-0.4469761658333482,-0.2897060346224407,0.1572701312109075,-0.1512538125181344,-0.2580704807674134,-0.10681666824927899,-0.2957223533152137,-0.0316355538550272,0.2640867994601865,1256.2474599029265,1256.5174994702984,0.27003956737189583,1256.8309461613196,1256.8066903920194,-0.024255769300225438,-0.0990378216010867,-0.0925695677715339,0.006468253829552809,-0.0080168831773947,-0.0249274200962226,-0.0169105369188279,-0.0910209384236919,-0.0676421476753112,0.0233787907483807,1256.8482100847468,1256.8585680677977,0.010357983050880648,1256.9712118382597,1256.9644297584257,-0.006782079834010801,False,False,True,True,False,False,False,True,0.05972526378658173,0.15926737009755126,-199.99999999999991,-333.33333333333326,0.17917579135974515,2.6666666666666665
Sell,2024-01-01 13:55:00,1256.9,1258.4,1256.9,2024-01-01 14:00:00+05:30,2024-01-01 13:55:00+05:30,2024-01-01 14:05:00,1258.4,-1.5,-0.1193412363752088,10.0,0.0,0.0,0.12,-1.0,5.0,SUNPHARMA,True,False,-0.1193412363752088,1256.95,1257.5,1256.25,1256.9,10860,2024-01-01 13:55:00,1258.85,1259.5,1257.9,1258.4,10354,2024-01-01 14:05:00,10.0,2,0.0,0.0,-0.2438348602279347,0.0395984695032893,0.28343332973122404,-0.2552233566595177,-0.1690967009895966,0.08612665566992109,0.0113884964315829,0.208695170492886,0.1973066740613031,1256.5939995762387,1257.244159728793,0.6501601525542355,1256.8155770213507,1257.103000690947,0.28742366959636456,-0.0925695677715339,0.1688237315852347,0.2613932993567686,-0.0249274200962226,0.0138228102400688,0.0387502303362914,-0.0676421476753112,0.1550009213451659,0.2226430690204771,1256.8585680677977,1257.5068544542382,0.6482863864405317,1256.9644297584257,1257.2630554957184,0.2986257372926957,False,False,True,False,False,False,False,True,0.051714535762597734,0.22674834911288957,-230.76923076919837,-449.99999999992997,0.17105577213780654,4.384615384614632
Buy,2024-01-01 14:10:00,1260.1,1262.3,1260.0,2024-01-01 14:55:00+05:30,2024-01-01 14:20:00+05:30,2024-01-01 15:15:00,1260.0,-0.099999999999909,-0.007935878104905,65.0,0.0,0.17,0.01,-1.0,55.0,SUNPHARMA,True,False,-0.007935878104905,1258.15,1260.3,1258.0,1260.1,12573,2024-01-01 14:10:00,1260.35,1260.8,1260.0,1260.0,10893,2024-01-01 15:15:00,65.0,13,0.0,0.0,0.2727392718607007,0.862748720287982,0.5900094484272813,-0.0807295064195371,0.9444275958813788,1.0251571023009158,0.3534687782802378,-0.0816788755933968,-0.43514765387363463,1257.8153277830345,1260.5624793781926,2.7471515951581296,1257.3884291965712,1259.8951864023145,2.50675720574327,0.1688237315852347,0.9403891291794936,0.7715653975942589,0.0138228102400688,0.560778425688256,0.5469556154481872,0.1550009213451659,0.3796107034912375,0.22460978214607158,1257.5068544542382,1259.7052380675652,2.198383613326996,1257.2630554957184,1258.6744596301348,1.4114041344164434,True,False,False,False,False,True,False,False,0.21426870883263596,0.1666534402031513,-3.70370370370023,-42.59259259258678,0.22220458693754097,0.777777777777731
Buy,2024-01-02 09:20:00,1277.4,1290.4,1277.05,2024-01-02 10:30:00+05:30,2024-01-02 09:55:00+05:30,2024-01-02 11:05:00,1287.95,10.549999999999956,0.8258963519649252,105.0,0.0,1.02,0.03,30.14,70.0,SUNPHARMA,True,False,0.8258963519649252,1267.15,1279.8,1267.15,1277.4,123602,2024-01-02 09:20:00,1289.4,1289.7,1287.05,1287.95,19509,2024-01-02 11:05:00,105.0,21,0.0,0.0,2.4280610039704698,5.513609904432315,3.085548900461845,1.2388873697378633,6.08495134406736,4.846063974329496,1.1891736342326065,-0.5713414396350451,-1.7605150738676516,1265.004791553308,1288.1921593136822,23.187367760374173,1262.2844565131604,1284.1178132342768,21.833356721116388,2.3161315451170594,7.9992710303884,5.68313948527134,0.9118490495740168,5.633188208922459,4.721339159348442,1.4042824955430426,2.36608282146594,0.9618003259228975,1263.2541904540522,1281.3153511219098,18.06116066785762,1260.4626063320268,1273.1475722040482,12.684965872021394,True,False,False,False,False,True,False,False,1.178174416784089,0.8024111476436511,70.0996677740863,36.046511627906796,0.3522780648191639,0.6810631229235901
Buy,2024-01-02 13:15:00,1295.5,1296.1,1293.9,2024-01-02 13:20:00+05:30,2024-01-02 13:35:00+05:30,2024-01-02 13:35:00,1293.9,-1.599999999999909,-0.1235044384407494,20.0,0.0,0.05,0.12,-1.0,0.0,SUNPHARMA,True,False,-0.1235044384407494,1295.8,1296.0,1294.0,1295.5,48969,2024-01-02 13:15:00,1294.55,1294.95,1293.0,1293.9,25715,2024-01-02 13:35:00,20.0,4,0.0,0.0,2.418526875727366,2.4073278836397094,-0.011198992087656734,2.200915740507109,2.384535579593748,0.18361983908663904,0.217611135220257,0.0227923040459616,-0.19481883117429538,1292.603884956594,1293.936791278221,1.3329063216272061,1290.6356561632454,1292.0638897725244,1.4282336092790047,7.975149124147492,7.97083853434674,-0.004310589800752496,7.6467731968517,7.711586264350708,0.06481306749900817,0.3283759272957924,0.2592522699960318,-0.06912365729976061,1290.6070295575057,1291.7056236460046,1.098594088498885,1283.865700129796,1285.0308715460058,1.1651714162096596,True,True,False,False,False,True,False,False,0.1543805480509456,0.2431493631802463,-79.99999999999542,-158.74999999999767,0.277884986491695,1.5750000000000453
Buy,2024-01-02 13:40:00,1296.1,1296.3,1294.45,2024-01-02 13:45:00+05:30,2024-01-02 13:50:00+05:30,2024-01-02 13:50:00,1294.45,-1.6499999999998636,-0.1273049918987627,10.0,0.0,0.02,0.13,-1.0,0.0,SUNPHARMA,True,False,-0.1273049918987627,1293.55,1296.8,1293.55,1296.1,47230,2024-01-02 13:40:00,1295.75,1296.85,1294.4,1294.45,49591,2024-01-02 13:50:00,10.0,2,0.0,0.0,2.443549787951952,2.2973404305432723,-0.1462093574086798,2.396338421265389,2.3867305105242886,-0.009607910741100234,0.0472113666865627,-0.0893900799810163,-0.136601446667579,1294.369433022577,1294.6944371344491,0.3250041118722038,1292.4482812227602,1292.9708152413073,0.5225340185470486,7.97083853434674,7.772921821148429,-0.19791671319831128,7.711586264350708,7.723853375710253,0.012267111359545169,0.2592522699960318,0.0490684454381762,-0.2101838245578556,1291.7056236460046,1292.3244989168038,0.618875270799208,1285.0308715460058,1285.9612647321003,0.930393186094534,True,True,False,False,False,True,False,False,0.05786590540853329,0.1967440783890097,-219.9999999999818,-389.9999999999788,0.185170897307296,3.3999999999999395
