threshold,total_trades,num_wins,num_losses,win_rate_pct,profit_factor,avg_win_pct,avg_loss_pct,total_return_pct,sharpe_ratio,avg_duration_minutes,losers_to_winners_count,winners_to_losers_count,net_outcome_improvement,window_id,window_start,window_end,window_num_trades,trade_type
0.5,653,312,319,47.77947932618683,1.8505038365365951,0.47764838208105387,0.2524539859889971,68.49347367879872,2.7455810473602407,50.80398162327718,10,6,4,1,2024-01-01 09:15:00,2024-01-31 09:15:00,1378,Buy
0.6,653,312,319,47.77947932618683,1.8560358604911849,0.47764838208105387,0.25170153204796536,68.73350648598785,2.7557452656091033,50.781010719754974,10,6,4,1,2024-01-01 09:15:00,2024-01-31 09:15:00,1378,Buy
0.7,653,313,318,47.93261868300153,1.8893564427656324,0.4768812124211269,0.24843542993045473,70.26135276992815,2.8287422765124184,50.71209800918836,11,6,5,1,2024-01-01 09:15:00,2024-01-31 09:15:00,1378,Buy
0.8,653,314,316,48.085758039816234,1.9193567671654774,0.47743847974331544,0.24717484801635764,71.80843066623203,2.894911138283825,50.57427258805513,12,6,6,1,2024-01-01 09:15:00,2024-01-31 09:15:00,1378,Buy
0.9,653,321,309,49.15773353751914,1.996231397814256,0.47369031711884774,0.24650752319008953,75.88376712941245,3.06662375845223,50.1301684532925,20,7,13,1,2024-01-01 09:15:00,2024-01-31 09:15:00,1378,Buy
0.95,653,335,296,51.301684532924966,2.1001292364189004,0.4632769999525265,0.249659338032133,81.29863092658502,3.2859793714143284,49.60949464012251,34,7,27,1,2024-01-01 09:15:00,2024-01-31 09:15:00,1378,Buy
0.5,681,343,309,50.36710719530103,2.508947037436417,0.5405798407714276,0.23916850726456218,111.51581663984996,4.104931639468101,50.565345080763585,9,5,4,2,2024-01-16 09:15:00,2024-02-15 09:15:00,1427,Buy
0.6,681,344,308,50.51395007342144,2.5237675331001888,0.5391708189292512,0.23860786577216778,111.98353905383476,4.124456432187317,50.543318649045524,10,5,5,2,2024-01-16 09:15:00,2024-02-15 09:15:00,1427,Buy
0.7,681,344,306,50.51395007342144,2.6153310056705874,0.5402200382432784,0.23221006651415282,114.779412802357,4.253893691123678,50.42584434654919,11,6,5,2,2024-01-16 09:15:00,2024-02-15 09:15:00,1427,Buy
0.8,681,345,305,50.66079295154186,2.6329189166638507,0.5392207913052693,0.2316585855613957,115.3753044040922,4.279832686848705,50.33773861967695,12,6,6,2,2024-01-16 09:15:00,2024-02-15 09:15:00,1427,Buy
0.9,681,351,298,51.541850220264315,2.7336885706756853,0.5352991028990237,0.23064196577731377,119.15867931591784,4.429649179540008,49.95594713656388,20,8,12,2,2024-01-16 09:15:00,2024-02-15 09:15:00,1427,Buy
0.95,681,369,282,54.18502202643172,2.8830662498852675,0.5192843641961474,0.23568279600909145,125.15338191381461,4.670287882115669,49.40528634361233,39,9,30,2,2024-01-16 09:15:00,2024-02-15 09:15:00,1427,Buy
0.5,795,410,351,51.57232704402516,2.619210657592652,0.4644632079235287,0.20713697445680695,117.72483721430751,4.3345945201292855,48.0125786163522,7,5,2,3,2024-01-31 09:15:00,2024-03-01 09:15:00,1588,Buy
0.6,795,413,348,51.9496855345912,2.6555672344892853,0.4616842768473302,0.20632820058214985,118.87339253535926,4.382634700005126,47.9496855345912,11,6,5,3,2024-01-31 09:15:00,2024-03-01 09:15:00,1588,Buy
0.7,795,413,346,51.9496855345912,2.734648907504011,0.4625095838087138,0.20187991470237687,121.1660076259764,4.487199888068195,47.84276729559748,12,7,5,3,2024-01-31 09:15:00,2024-03-01 09:15:00,1588,Buy
