trade_id,ticker,entry_time,exit_time,side,entry_price,exit_price,quantity,pnl,strategy
RELIANCE_0001,RELIANCE,2025-04-01T09:15:00+05:30,2025-04-04T09:15:00+05:30,LONG,1274.45,1222.3,10,-671.5,phase4_full_backtest
BANKNIFTY_0001,BANKNIFTY,2025-04-01T09:15:00+05:30,2025-04-04T09:15:00+05:30,LONG,51486.35,51598.6,10,972.5,phase4_full_backtest
INFY_0001,INFY,2025-04-01T09:15:00+05:30,2025-04-04T09:15:00+05:30,SHORT,1541.95,1469.05,10,579.0,phase4_full_backtest
NIFTY_0001,NIFTY,2025-04-01T09:15:00+05:30,2025-04-04T09:15:00+05:30,SHORT,23471.45,23076.05,10,3804.0,phase4_full_backtest
TCS_0001,TCS,2025-04-01T10:30:00+05:30,2025-04-03T13:30:00+05:30,LONG,3541.15,3418.0,10,-1381.5,phase4_full_backtest
BANKNIFTY_0002,BANKNIFTY,2025-04-01T14:15:00+05:30,2025-04-04T14:15:00+05:30,LONG,50837.9,51515.2,10,6623.0,phase4_full_backtest
NIFTY_0002,NIFTY,2025-04-01T14:15:00+05:30,2025-04-03T12:00:00+05:30,SHORT,23154.75,23273.5,10,-1337.5,phase4_full_backtest
INFY_0002,INFY,2025-04-02T09:45:00+05:30,2025-04-04T15:15:00+05:30,LONG,1541.5,1456.1,10,-1004.0,phase4_full_backtest
TCS_0002,TCS,2025-04-02T11:00:00+05:30,2025-04-04T15:15:00+05:30,LONG,3545.3,3304.85,10,-2554.5,phase4_full_backtest
RELIANCE_0002,RELIANCE,2025-04-02T12:00:00+05:30,2025-04-04T15:15:00+05:30,SHORT,1251.5,1205.9,10,306.0,phase4_full_backtest
TCS_0003,TCS,2025-04-02T14:30:00+05:30,2025-04-04T13:15:00+05:30,SHORT,3547.95,3324.05,10,2089.0,phase4_full_backtest
INFY_0003,INFY,2025-04-02T15:00:00+05:30,2025-04-04T14:15:00+05:30,LONG,1550.4,1449.55,10,-1158.5,phase4_full_backtest
RELIANCE_0003,RELIANCE,2025-04-03T10:15:00+05:30,2025-04-04T15:15:00+05:30,SHORT,1246.0,1205.9,10,251.0,phase4_full_backtest
BANKNIFTY_0003,BANKNIFTY,2025-04-03T11:45:00+05:30,2025-04-04T15:15:00+05:30,SHORT,51499.35,51515.25,10,-309.0,phase4_full_backtest
NIFTY_0003,NIFTY,2025-04-03T11:45:00+05:30,2025-04-04T13:00:00+05:30,SHORT,23289.75,22938.05,10,3367.0,phase4_full_backtest
TCS_0004,TCS,2025-04-03T15:00:00+05:30,2025-04-04T15:15:00+05:30,SHORT,3404.55,3304.85,10,847.0,phase4_full_backtest
NIFTY_0004,NIFTY,2025-04-04T09:15:00+05:30,2025-04-07T09:15:00+05:30,SHORT,23076.05,22041.85,10,10192.0,phase4_full_backtest
BANKNIFTY_0004,BANKNIFTY,2025-04-04T10:45:00+05:30,2025-04-07T10:45:00+05:30,SHORT,51631.3,49744.1,10,18722.0,phase4_full_backtest
RELIANCE_0004,RELIANCE,2025-04-04T11:30:00+05:30,2025-04-07T11:30:00+05:30,SHORT,1196.55,1155.5,10,260.5,phase4_full_backtest
INFY_0004,INFY,2025-04-04T12:45:00+05:30,2025-04-07T12:45:00+05:30,LONG,1461.0,1372.35,10,-1036.5,phase4_full_backtest
RELIANCE_0005,RELIANCE,2025-04-04T15:15:00+05:30,2025-04-07T15:15:00+05:30,LONG,1205.9,1171.25,10,-496.5,phase4_full_backtest
BANKNIFTY_0005,BANKNIFTY,2025-04-07T09:30:00+05:30,2025-04-09T15:15:00+05:30,SHORT,49914.85,50283.75,10,-3839.0,phase4_full_backtest
INFY_0005,INFY,2025-04-07T09:30:00+05:30,2025-04-09T15:15:00+05:30,SHORT,1378.0,1402.0,10,-390.0,phase4_full_backtest
NIFTY_0005,NIFTY,2025-04-07T10:00:00+05:30,2025-04-09T15:15:00+05:30,LONG,21918.15,22420.4,10,4872.5,phase4_full_backtest
TCS_0005,TCS,2025-04-07T11:45:00+05:30,2025-04-09T15:15:00+05:30,SHORT,3164.95,3239.0,10,-890.5,phase4_full_backtest
TCS_0006,TCS,2025-04-08T10:30:00+05:30,2025-04-08T14:45:00+05:30,LONG,3274.95,3298.7,10,87.5,phase4_full_backtest
BANKNIFTY_0006,BANKNIFTY,2025-04-08T11:00:00+05:30,2025-04-11T11:00:00+05:30,LONG,50383.5,50964.55,10,5660.5,phase4_full_backtest
RELIANCE_0006,RELIANCE,2025-04-08T11:30:00+05:30,2025-04-11T11:30:00+05:30,LONG,1170.09,1216.84,10,317.5,phase4_full_backtest
NIFTY_0006,NIFTY,2025-04-08T13:15:00+05:30,2025-04-11T13:15:00+05:30,SHORT,22687.3,22874.2,10,-2019.0,phase4_full_backtest
INFY_0006,INFY,2025-04-08T13:30:00+05:30,2025-04-11T13:30:00+05:30,SHORT,1442.65,1409.8,10,178.5,phase4_full_backtest
TCS_0007,TCS,2025-04-09T13:45:00+05:30,2025-04-11T15:15:00+05:30,SHORT,3256.15,3238.0,10,31.5,phase4_full_backtest
NIFTY_0007,NIFTY,2025-04-09T14:30:00+05:30,2025-04-11T15:15:00+05:30,LONG,22403.7,22844.5,10,4258.0,phase4_full_backtest
