timestamp,open,high,low,close,volume,ticker
2025-06-06 09:15:00+05:30,1441.0,1444.9,1438.7,1442.0,230043,RELIANCE
2025-06-06 09:16:00+05:30,1441.3,1442.0,1439.1,1439.7,38633,RELIANCE
2025-06-06 09:17:00+05:30,1439.7,1440.6,1439.1,1440.5,52908,RELIANCE
2025-06-06 09:18:00+05:30,1440.5,1441.3,1440.1,1440.1,31204,RELIANCE
2025-06-06 09:19:00+05:30,1440.3,1440.3,1438.2,1439.8,53873,RELIANCE
2025-06-06 09:20:00+05:30,1439.8,1440.0,1438.2,1439.4,43980,RELIANCE
2025-06-06 09:21:00+05:30,1439.6,1439.9,1438.9,1439.9,20130,RELIANCE
2025-06-06 09:22:00+05:30,1439.9,1439.9,1438.7,1439.1,28528,RELIANCE
2025-06-06 09:23:00+05:30,1439.1,1440.6,1439.0,1440.0,31041,RELIANCE
2025-06-06 09:24:00+05:30,1440.0,1440.3,1439.6,1440.3,21857,RELIANCE
2025-06-06 09:25:00+05:30,1440.3,1440.6,1439.2,1440.6,28768,RELIANCE
2025-06-06 09:26:00+05:30,1440.6,1440.7,1439.9,1440.3,19561,RELIANCE
2025-06-06 09:27:00+05:30,1440.3,1440.4,1438.7,1439.1,25323,RELIANCE
2025-06-06 09:28:00+05:30,1439.1,1439.7,1438.2,1439.6,33554,RELIANCE
2025-06-06 09:29:00+05:30,1439.6,1440.0,1439.3,1439.8,13563,RELIANCE
2025-06-06 09:30:00+05:30,1439.9,1439.9,1439.1,1439.8,16717,RELIANCE
2025-06-06 09:31:00+05:30,1439.8,1440.3,1439.7,1439.9,15738,RELIANCE
2025-06-06 09:32:00+05:30,1440.0,1440.5,1439.8,1440.3,22987,RELIANCE
2025-06-06 09:33:00+05:30,1440.4,1440.4,1439.1,1439.1,15619,RELIANCE
2025-06-06 09:34:00+05:30,1439.3,1439.4,1438.2,1439.2,54148,RELIANCE
2025-06-06 09:35:00+05:30,1439.4,1439.7,1439.1,1439.5,39110,RELIANCE
2025-06-06 09:36:00+05:30,1439.6,1439.6,1438.1,1438.1,33072,RELIANCE
2025-06-06 09:37:00+05:30,1438.7,1438.7,1437.0,1438.1,42529,RELIANCE
2025-06-06 09:38:00+05:30,1438.1,1438.3,1437.5,1438.3,11270,RELIANCE
2025-06-06 09:39:00+05:30,1438.3,1439.1,1438.2,1438.7,13504,RELIANCE
2025-06-06 09:40:00+05:30,1438.8,1438.8,1438.3,1438.6,14838,RELIANCE
2025-06-06 09:41:00+05:30,1438.6,1439.0,1437.0,1438.9,44676,RELIANCE
2025-06-06 09:42:00+05:30,1438.9,1439.0,1438.3,1439.0,14364,RELIANCE
2025-06-06 09:43:00+05:30,1438.8,1439.0,1438.4,1438.8,13304,RELIANCE
2025-06-06 09:44:00+05:30,1438.8,1439.0,1438.4,1438.9,37010,RELIANCE
2025-06-06 09:45:00+05:30,1438.8,1439.1,1438.2,1438.9,29040,RELIANCE
2025-06-06 09:46:00+05:30,1438.9,1438.9,1438.7,1438.9,4994,RELIANCE
2025-06-06 09:47:00+05:30,1438.9,1439.9,1438.4,1439.4,45367,RELIANCE
2025-06-06 09:48:00+05:30,1439.4,1439.4,1438.8,1439.3,11815,RELIANCE
2025-06-06 09:49:00+05:30,1439.3,1439.9,1439.2,1439.4,14153,RELIANCE
2025-06-06 09:50:00+05:30,1439.5,1439.5,1439.1,1439.3,10415,RELIANCE
2025-06-06 09:51:00+05:30,1439.3,1439.4,1439.2,1439.4,8140,RELIANCE
2025-06-06 09:52:00+05:30,1439.4,1439.9,1439.3,1439.5,28420,RELIANCE
2025-06-06 09:53:00+05:30,1439.7,1439.8,1439.2,1439.6,13007,RELIANCE
2025-06-06 09:54:00+05:30,1439.6,1439.7,1439.1,1439.1,5780,RELIANCE
2025-06-06 09:55:00+05:30,1439.3,1439.8,1439.1,1439.8,23386,RELIANCE
2025-06-06 09:56:00+05:30,1439.6,1440.0,1439.6,1440.0,11756,RELIANCE
2025-06-06 09:57:00+05:30,1440.0,1440.1,1439.4,1439.9,12111,RELIANCE
2025-06-06 09:58:00+05:30,1439.7,1439.8,1438.7,1439.2,17257,RELIANCE
2025-06-06 09:59:00+05:30,1439.2,1440.1,1439.0,1439.8,17344,RELIANCE
2025-06-06 10:00:00+05:30,1439.8,1439.8,1439.0,1439.5,7206,RELIANCE
2025-06-06 10:01:00+05:30,1439.5,1439.6,1437.6,1437.9,44841,RELIANCE
2025-06-06 10:02:00+05:30,1438.2,1440.0,1438.2,1439.0,331363,RELIANCE
2025-06-06 10:03:00+05:30,1439.0,1439.0,1438.0,1438.0,15053,RELIANCE
2025-06-06 10:04:00+05:30,1438.0,1438.4,1437.4,1438.2,14238,RELIANCE
2025-06-06 10:05:00+05:30,1438.2,1439.8,1437.8,1439.8,11805,RELIANCE
2025-06-06 10:06:00+05:30,1439.4,1443.9,1439.3,1443.4,156603,RELIANCE
2025-06-06 10:07:00+05:30,1443.4,1445.4,1442.7,1445.0,65749,RELIANCE
2025-06-06 10:08:00+05:30,1444.5,1445.7,1443.3,1444.9,74373,RELIANCE
2025-06-06 10:09:00+05:30,1445.1,1447.8,1445.0,1446.5,56686,RELIANCE
2025-06-06 10:10:00+05:30,1446.5,1447.2,1445.0,1445.0,74320,RELIANCE
