Trade Type,Entry Time,Entry Price,High During Trade,Low During Trade,High Time,Low Time,Exit Time,Exit Price,Profit (Currency),Profit (%),Trade Duration (min),PnL,Target (%),Drawdown (%),RRR,Recovery Time (min),ticker,strategy_generated,risk_processed
Sell,2025-04-30 12:05:00+05:30,3471.8,3471.8,3452.8,2025-04-30 12:05:00+05:30,2025-04-30 13:00:00+05:30,2025-04-30 13:20:00+05:30,3463.6,8.200000000000273,0.2361887205484265,75.0,0.0,0.55,0.0,,75.0,TCS,True,False
Buy,2025-04-30 12:35:00+05:30,1408.5,1410.9,1408.5,2025-04-30 13:05:00+05:30,2025-04-30 12:35:00+05:30,2025-04-30 13:20:00+05:30,1410.4,1.900000000000091,0.1348952786652531,45.0,0.0,0.17,0.0,,45.0,RELIANCE,True,False
Buy,2025-04-30 12:35:00+05:30,24356.35,24356.5,24351.05,2025-04-30 12:40:00+05:30,2025-04-30 12:45:00+05:30,2025-04-30 12:50:00+05:30,24354.75,-1.5999999999985448,-0.0065691287898168,15.0,0.0,0.0,0.02,-0.3,5.0,NIFTY,True,False
Sell,2025-04-30 12:50:00+05:30,1494.5,1499.0,1494.3,2025-04-30 13:20:00+05:30,2025-04-30 13:00:00+05:30,2025-04-30 13:20:00+05:30,1499.0,-4.5,-0.3011040481766477,30.0,0.0,0.01,0.3,-1.0,0.0,INFY,True,False
Sell,2025-04-30 13:20:00+05:30,24333.15,24346.65,24332.7,2025-04-30 13:35:00+05:30,2025-04-30 13:25:00+05:30,2025-04-30 13:35:00+05:30,24346.65,-13.5,-0.0554798700538154,15.0,0.0,0.0,0.06,-1.0,0.0,NIFTY,True,False
Sell,2025-04-30 14:50:00+05:30,3473.3,3475.7,3449.0,2025-04-30 14:55:00+05:30,2025-04-30 15:10:00+05:30,2025-04-30 15:15:00+05:30,3449.1,24.200000000000276,0.6967437307459843,25.0,0.0,0.7,0.07,10.08,20.0,TCS,True,False
Buy,2025-04-30 14:50:00+05:30,24376.7,24379.75,24324.0,2025-04-30 15:05:00+05:30,2025-04-30 15:15:00+05:30,2025-04-30 15:15:00+05:30,24324.0,-52.70000000000073,-0.2161900503349539,25.0,0.0,0.01,0.22,-1.0,0.0,NIFTY,True,False
Sell,2025-05-02 09:15:00+05:30,55391.65,55426.65,55391.65,2025-05-02 09:20:00+05:30,2025-05-02 09:15:00+05:30,2025-05-02 09:20:00+05:30,55426.65,-35.0,-0.063186418891656,5.0,0.0,0.0,0.06,-1.0,0.0,BANKNIFTY,True,False
Sell,2025-05-02 09:15:00+05:30,3447.9,3447.9,3444.0,2025-05-02 09:15:00+05:30,2025-05-02 09:20:00+05:30,2025-05-02 09:20:00+05:30,3444.0,3.900000000000091,0.1131123292438902,5.0,0.0,0.11,0.0,,5.0,TCS,True,False
Sell,2025-05-02 09:15:00+05:30,24410.5,24410.5,24403.65,2025-05-02 09:15:00+05:30,2025-05-02 09:20:00+05:30,2025-05-02 09:20:00+05:30,24403.65,6.849999999998545,0.0280616947624937,5.0,0.0,0.03,0.0,,5.0,NIFTY,True,False
Sell,2025-05-02 09:15:00+05:30,1512.0,1512.0,1504.3,2025-05-02 09:15:00+05:30,2025-05-02 09:20:00+05:30,2025-05-02 09:20:00+05:30,1504.3,7.700000000000045,0.5092592592592623,5.0,0.0,0.51,0.0,,5.0,INFY,True,False
Buy,2025-05-02 09:25:00+05:30,55607.95,55607.95,55381.55,2025-05-02 09:25:00+05:30,2025-05-02 10:50:00+05:30,2025-05-02 10:50:00+05:30,55381.55,-226.39999999999415,-0.407136030010087,85.0,0.0,0.0,0.41,-1.0,0.0,BANKNIFTY,True,False
Buy,2025-05-02 09:25:00+05:30,24487.6,24581.95,24487.6,2025-05-02 10:10:00+05:30,2025-05-02 09:25:00+05:30,2025-05-02 10:35:00+05:30,24520.7,33.10000000000218,0.1351704536173499,70.0,0.0,0.39,0.0,,70.0,NIFTY,True,False
Buy,2025-05-02 09:25:00+05:30,1511.5,1520.8,1511.5,2025-05-02 10:05:00+05:30,2025-05-02 09:25:00+05:30,2025-05-02 10:35:00+05:30,1514.4,2.900000000000091,0.1918623883559438,70.0,0.0,0.62,0.0,,70.0,INFY,True,False
Sell,2025-05-02 09:25:00+05:30,3461.7,3474.9,3461.7,2025-05-02 09:35:00+05:30,2025-05-02 09:25:00+05:30,2025-05-02 09:35:00+05:30,3474.9,-13.200000000000273,-0.3813155386082061,10.0,0.0,0.0,0.38,-1.0,0.0,TCS,True,False
Buy,2025-05-02 09:35:00+05:30,1424.1,1425.0,1421.0,2025-05-02 09:40:00+05:30,2025-05-02 10:00:00+05:30,2025-05-02 10:20:00+05:30,1423.0,-1.099999999999909,-0.0772417667298581,45.0,0.0,0.06,0.22,-0.35,20.0,RELIANCE,True,False
Buy,2025-05-02 10:05:00+05:30,3491.0,3491.0,3472.7,2025-05-02 10:05:00+05:30,2025-05-02 10:15:00+05:30,2025-05-02 10:20:00+05:30,3474.9,-16.09999999999991,-0.4611859066170126,15.0,0.0,0.0,0.52,-0.88,5.0,TCS,True,False
Buy,2025-05-02 10:25:00+05:30,1418.3,1419.6,1416.2,2025-05-02 10:35:00+05:30,2025-05-02 10:30:00+05:30,2025-05-02 10:35:00+05:30,1419.6,1.2999999999999543,0.0916590284142956,10.0,0.0,0.09,0.15,0.62,5.0,RELIANCE,True,False
Buy,2025-05-02 10:25:00+05:30,3466.8,3466.8,3460.9,2025-05-02 10:25:00+05:30,2025-05-02 10:30:00+05:30,2025-05-02 10:35:00+05:30,3466.3,-0.5,-0.0144225222106842,10.0,0.0,0.0,0.17,-0.08,5.0,TCS,True,False
Sell,2025-05-02 10:50:00+05:30,3457.2,3462.3,3422.5,2025-05-02 11:25:00+05:30,2025-05-02 12:25:00+05:30,2025-05-02 13:20:00+05:30,3441.9,15.299999999999727,0.4425546685178678,150.0,0.0,1.0,0.15,3.0,115.0,TCS,True,False
Sell,2025-05-02 12:05:00+05:30,24316.9,24354.1,24242.75,2025-05-02 13:20:00+05:30,2025-05-02 12:25:00+05:30,2025-05-02 13:20:00+05:30,24354.1,-37.19999999999709,-0.152980026236885,75.0,0.0,0.3,0.15,-1.0,0.0,NIFTY,True,False
Sell,2025-05-02 12:05:00+05:30,55180.6,55180.6,55035.25,2025-05-02 12:05:00+05:30,2025-05-02 12:25:00+05:30,2025-05-02 13:20:00+05:30,55155.75,24.849999999998545,0.0450339430886915,75.0,0.0,0.26,0.0,,75.0,BANKNIFTY,True,False
Sell,2025-05-02 12:20:00+05:30,1500.9,1504.9,1497.7,2025-05-02 12:45:00+05:30,2025-05-02 12:25:00+05:30,2025-05-02 12:50:00+05:30,1503.9,-3.0,-0.1998800719568259,30.0,0.0,0.21,0.27,-0.75,5.0,INFY,True,False
