ticker,total_trades,total_pnl,avg_return_pct,win_rate,profit_factor,risk_reward_ratio,sharpe_like_ratio,avg_return_pct_score,win_rate_score,profit_factor_score,composite_score,rank
BHARTIHEXA,382,874.0999999999988,0.12793642042931488,51.30890052356021,1.6858916653752072,1.5396663678681737,0.1270615407298137,100.0,97.8274989766475,100.0,99.34824969299424,1
COROMANDEL,1142,1480.5299999999988,0.03725612785108217,51.225919439579684,1.2731210616545288,1.1773649476155557,0.07362218388032954,57.153605752594416,97.44017392330659,60.48695345508088,70.57291528480266,2
MAXHEALTH,950,717.8099999999993,0.04685126605970643,49.57894736842105,1.2861244090257045,1.2533569081588074,0.07064239053367914,61.68730390084837,89.75271655697222,61.73171716956455,70.12469300517199,3
PHOENIXLTD,1021,1523.8499999999958,0.04792570388224451,49.265426052889325,1.2565089247576455,1.2240345390283227,0.06374268975182473,62.19497525070725,88.28931484616382,58.89673328799433,68.70398034425905,4
INDIANB,1035,570.0699999999993,0.04407491694167227,49.371980676328505,1.2337869303435345,1.1879122695284128,0.05229015443975037,60.37548028959237,88.78667247548796,56.7216384174165,67.4373011964907,5
CUMMINSIND,1126,1314.149999999998,0.029531208728360687,50.799289520426285,1.2335686162226915,1.1624011960559977,0.06711938307729469,53.50358521504602,95.44882302420653,56.70073999117072,67.36601846824405,6
LUPIN,1072,969.670000000001,0.028679057058543865,50.279850746268664,1.2437147090928793,1.2044880856149964,0.06707960367580262,53.100943964500246,93.02427466623193,57.67198900022101,66.90636118930806,7
PERSISTENT,1039,3543.7499999999973,0.03080740176442056,50.24061597690087,1.223728652250402,1.2026298823840156,0.06083240287675656,54.106585805407384,92.84114125305832,55.758795601398944,66.38783635809929,8
POLICYBZR,1023,1345.75,0.044144977600966306,48.97360703812317,1.2176098472162162,1.1933062574514215,0.05636560106331543,60.408583917117106,86.92721146020762,55.17306438426344,66.2699643669028,9
PTCIL,689,2146.500000000017,0.05309330159349263,47.02467343976778,1.2354329338439545,1.3155072906671736,0.05991011474045514,64.63666266208288,77.83030920573667,56.879204417366445,65.49177332729244,10
ZFCVINDIA,1214,15765.1,0.037468056561362824,48.51729818780889,1.2352378564133875,1.26250117073151,0.045298924144053766,57.253741965379525,84.79733027150942,56.860530355976465,65.35953381345726,11
BRIGADE,1060,1234.5700000000008,0.03315391254818064,50.37735849056604,1.181518743955861,1.0974406310900882,0.04758564259347077,55.21531101226569,93.4794048049271,51.71819276760898,65.29569185220143,12
DOMS,440,1820.1400000000008,0.04033038945864651,48.40909090909091,1.2117233750860925,1.257234112178528,0.05414315604576814,58.60619287061376,84.2922586577046,54.60957356111281,64.71336488294062,13
SUNDARMFIN,1097,3336.0399999999845,0.03213353328984136,48.95168641750228,1.1979887742876576,1.209143232148809,0.04938825191698013,54.73318230776286,86.82489409890097,53.294809583899735,63.78534675555904,14
TECHM,1096,777.2500000000025,0.017533800441507662,51.45985401459854,1.1572097935616326,1.0607756440981633,0.045660571465055,47.83481562035033,98.53209412247782,49.391184304004184,63.66654664445012,15
TORNTPHARM,1198,1319.849999999999,0.01863349079330862,51.3355592654424,1.1570204817461012,1.0685977782630656,0.04501516613233512,48.35441877803403,97.95193213811287,49.37306216422202,63.64113014053287,16
NUVAMA,577,4177.700000000004,0.02882965820289778,50.60658578856152,1.1438543940987265,1.1046812984104137,0.03922755816836816,53.172102932139566,94.54935317345078,48.11271990792791,63.56152479484827,17
CIPLA,1099,394.4000000000033,0.014548707529876616,51.77434030937216,1.1531473691615337,1.05181631738987,0.04889919714061304,46.42436066789706,100.0,49.002303015076585,63.52822940639975,18
CRAFTSMAN,1025,5579.6,0.03174087260745951,49.36585365853659,1.1699126952507835,1.1791610169523705,0.04357666565984032,54.54765032584659,88.75807381927333,50.60718743304147,63.23459221675256,19
SIGNATURE,597,532.8400000000063,0.03294303021666948,48.57621440536013,1.1936816113686048,1.2307269027559065,0.05128479579915403,55.1156692129415,85.07232941602571,52.882500356055,63.20939973111216,20
TITAN,1023,2514.149999999995,0.019302548671692833,50.146627565982406,1.1845548632148097,1.1591550513330109,0.05007580541399942,48.67054830096043,92.4024380628112,52.008829553546256,63.12542773054999,21
BALKRISIND,1138,1775.97000000001,0.01860977078691301,51.23022847100176,1.1439317435954808,1.0713323018921654,0.042785843885703154,48.34321108652047,97.46028689056783,48.1201242972859,62.98909911204085,22
MARUTI,1065,8787.050000000007,0.016820008777929555,50.89201877934272,1.1596290845259893,1.101861584005322,0.04102560308472839,47.49754940562353,95.88164895793982,49.62277433395947,62.86286924265279,23
OFSS,1106,7489.900000000003,0.019257405371654428,51.08499095840868,1.1353545515527002,1.0670323307512988,0.03741318994131706,48.64921811359468,96.78237182108745,47.299060526377346,62.54910119095558,24
BAYERCROP,1207,3690.3400000000065,0.025693374722013936,49.29577464788733,1.1768491571528352,1.1550922819785812,0.04249236711289905,51.69021050906824,88.43097087923255,51.27119000377274,62.54483041799933,25
TRENT,1006,3789.650000000004,0.025861132183732233,49.70178926441352,1.1611906799681326,1.147256391808515,0.04391939433690218,51.76947582833841,90.32609715933876,49.77226025382283,62.53757599783228,26
MANAPPURAM,1082,203.53999999999988,0.0199998697809771,51.571164510166355,1.112485649312916,0.9669454120372122,0.030143422729081142,49.00003218677449,99.05165040645363,45.10990269758178,62.45946585700115,27
ANANDRATHI,1295,1003.8999999999985,0.033217609589979595,46.71814671814672,1.2339647739644846,1.2931134986669144,0.05750595079159652,55.24540783361148,76.39955567605087,56.738662748143966,62.18895415215629,28
M&M,1035,1921.650000000002,0.019711848535766248,50.14492753623189,1.154465670416934,1.1277728225460222,0.04320700422269302,48.86394228815307,92.39450295179296,49.12849925675495,62.028933274685784,29
INDIGO,1053,2931.1099999999974,0.017700744472927424,50.80721747388414,1.1370539013158283,1.0754192038613255,0.038537715423998725,47.9136965941991,95.48582778298585,47.46173317234905,62.004550582095106,30
INFY,1018,720.7999999999947,0.013405371590799253,50.785854616895875,1.1516671578823279,1.0959772566307646,0.04320175870045708,45.884134991401005,95.38611385632235,48.86060770866578,61.92531773778332,31
OBEROIRLTY,1164,1346.0500000000015,0.020382273466382227,50.77319587628865,1.1245786037646717,1.0579791940662562,0.036566418607118754,49.18071774259572,95.32702753031013,46.267517769514455,61.859330689677535,32
HINDALCO,1019,356.2200000000012,0.01734646062242866,50.441609421000976,1.1362447907599702,1.087611745241061,0.03796077618683764,47.746297646728095,93.77930441896149,47.38427992648941,61.41139259030264,33
PRESTIGE,1048,1602.3700000000017,0.03289858189277946,47.99618320610687,1.1588099040866418,1.1933668594768994,0.044520973547812516,55.094667401468676,82.36495799577668,49.544357134340935,61.05563047290998,34
RAINBOW,981,1095.3500000000006,0.02675143965811412,49.03160040774719,1.1436325977577209,1.1507654414027793,0.03916252731250653,52.190145678028934,87.19790309142701,48.091488141259816,61.05300988734071,35
GODREJIND,1150,745.0899999999995,0.030483092054349112,47.130434782608695,1.1965717977155035,1.2650104060719252,0.04591449746439667,53.953349624745584,78.32396409420349,53.15916750875217,60.94686111918559,36
COLPAL,1164,1346.0400000000038,0.01598071193725267,50.0,1.14488500087533,1.1232462809275143,0.04352913343636553,47.100982055609535,91.71803473748574,48.21137619102166,60.93025551433725,37
DRREDDY,1066,386.12000000000387,0.015131714664750225,49.43714821763602,1.1640931585898604,1.1397951989228994,0.04465359559950057,46.69983125626437,89.09085049055166,50.050104101815386,60.75724616477096,38
LICHSGFIN,1053,392.0599999999991,0.01706805077482994,50.522317188983855,1.1138113957367963,1.044721591114025,0.03281908859395686,47.61474912881519,94.15601847280935,45.23681163848347,60.625954935880756,39
TVSMOTOR,1131,1549.8100000000006,0.01783775430149014,49.95579133510168,1.131412206256662,1.1053797130153582,0.03764210551860386,47.97843367172124,91.51168501694112,46.92167397856032,60.61570519802284,40
ANGELONE,977,4210.370000000001,0.03370914620604551,47.69703172978505,1.1528327418624669,1.2443666720103455,0.0368321865477885,55.477658646221364,80.96862938731272,48.9721848743944,60.52276035981799,41
SUNPHARMA,1163,813.0499999999997,0.013984283777774286,49.957007738607054,1.143072095450751,1.113560767685241,0.04170887213275933,46.15767071887299,91.5173627392605,48.03783326965751,60.51764334530305,42
