ticker,rank,composite_score,profit_factor,sharpe_like_ratio
KAJARIACER,1,90.197605267632,1.1806872859685882,0.05510858372687049
HCG,2,89.35895637162753,1.2049319347585647,0.05972669785710019
KOTAKBANK,3,88.10605657850176,1.1512218270733339,0.04702018636891474
AXISBANK,4,86.18488280799178,1.1400642104177896,0.04407454129733192
GODFRYPHLP,5,85.89051580025355,1.1747286838197646,0.04726014048502391
HDFCAMC,6,85.81691346774986,1.131700046009718,0.03943209252167466
NH,7,84.963141621576,1.1251241478268486,0.03835098900663928
UBL,8,84.32568384622735,1.1207984150282169,0.03750443865332516
HINDUNILVR,9,84.25413295520501,1.125739608459506,0.03808356921931361
KIRLOSBROS,10,83.79132439443785,1.1275287284177569,0.03750311863201688
COROMANDEL,11,83.29658467139275,1.0819329540733613,0.025791598426718982
ARTEMISMED,12,82.96973633405355,1.1275843463252946,0.036296710483471634
FORTIS,13,82.86617236154332,1.0989163500380106,0.030338068546349635
EICHERMOT,14,82.32367349832273,1.1075135895774086,0.03333017413269477
NEWGEN,15,82.00722493728551,1.1252341011618874,0.035016825564642924
ESCORTS,16,81.47096191949129,1.0953899693330973,0.028574178112382945
EIHOTEL,17,80.90100059119851,1.1160896802771998,0.03254533071479329
POWERINDIA,18,80.87428155299914,1.0954639152658996,0.026864071160795595
M&M,19,80.75618814101789,1.0829277943762214,0.026851444258076104
CREATIVE,20,80.53365618835946,1.1095500565551228,0.03080754523594724
BALKRISIND,21,80.05233578370479,1.0759211223040208,0.02421417019283072
CEATLTD,22,79.94744489884086,1.117893154222391,0.033308009199846084
MAXHEALTH,23,79.8783073789458,1.082639815714375,0.02674445925367624
BRITANNIA,24,79.43740199521159,1.0731106296563147,0.02247055067782041
LALPATHLAB,25,79.42271023299669,1.06171379089759,0.019052809765184264
ICICIGI,26,79.42259209627797,1.0816637998825283,0.026816449146267806
ASIANPAINT,27,79.2416225924786,1.0651340900494637,0.021236085231793104
BHARTIHEXA,28,78.56999819576119,1.075071359539855,0.0235823092975262
SUNDARMFIN,29,78.1907575197993,1.0828672760139715,0.025751775514683422
AMBER,30,77.6318836926486,1.0888495580984625,0.025198009506544772
EMAMILTD,31,77.39887141498829,1.0984014426703428,0.02919798195218754
BAJAJHLDNG,32,77.15098798322217,1.071326335966259,0.020070066385562614
WHIRLPOOL,33,77.03748859808611,1.0882458554168248,0.027333451384240228
HCLTECH,34,76.95398866701849,1.0750087977933347,0.024914649009874813
MARUTI,35,76.6253705080724,1.0820707425874347,0.02559493743328081
VBL,36,76.55791637145292,1.077001201355646,0.02413625574298453
SUPREMEIND,37,76.54500515679733,1.0754349313606812,0.023389983003122145
AADHARHFC,38,76.52843416086895,1.0666192076248546,0.021829435035797068
BERGEPAINT,39,76.29546487263393,1.0650909846395884,0.020597645579431955
INTELLECT,40,76.26425344204726,1.0637834693996109,0.020273379625939433
VEDL,41,76.23802868279871,1.0618187256564955,0.019080682041225008
INFY,42,75.76759058997555,1.0556850096127206,0.018403690973521434
AUBANK,43,75.49713837358894,1.0718821367782319,0.02339686632224245
GLENMARK,44,75.42075001971972,1.0564649355562414,0.01798599780074548
PIDILITIND,45,75.28900082241941,1.0461576453037313,0.015126857852933913
CCL,46,75.28300567173399,1.0671556737517855,0.020460869993143522
PAGEIND,47,74.95337336096192,1.046999580510269,0.014708356097164855
TITAN,48,74.9031317886016,1.0591610605032356,0.018244972663991957
BHARATFORG,49,74.79866350003854,1.0370765133324515,0.011021110660902368
PTCIL,50,74.71318857443106,1.0990653224562696,0.027139688849512685
