ticker,rank,composite_score,profit_factor,sharpe_like_ratio
MRF,1,79.1876672468557,1.8272069214630493,0.18804611778609465
POWERINDIA,2,74.17595046062479,2.2744640510675054,0.19519487713589181
MCX,3,71.99955566382705,2.3359099501265517,0.21426365520584534
LICI,4,70.68232854562304,2.321934132601474,0.2197680880939045
BEML,5,67.36546348462421,2.3178888280772094,0.1879544967339314
NIACL,6,67.32011721764715,2.2711465723264515,0.19611661166235703
ADANIENT,7,65.86318743084215,2.2723623659375045,0.19949044468661692
GMDCLTD,8,65.53883541452619,2.226232748042697,0.19920296104393018
HONAUT,9,65.41589154382912,1.7274447328167524,0.16357642183916038
TATAPOWER,10,64.95359036693439,2.2123587733456325,0.22481249414245627
ABB,11,64.09037507876982,2.0367021801957312,0.18893935012595098
ANGELONE,12,63.9395458496455,2.092963313602818,0.21515197059103675
BHEL,13,63.6744787269803,2.274240877774941,0.19428493027253732
OFSS,14,63.62710743181751,1.9919170598460383,0.18660551138872827
PAGEIND,15,63.01233968938831,1.7673840689658542,0.17917999382940633
GODFRYPHLP,16,62.74144261373203,2.1111689456427167,0.1638957604157163
LICHSGFIN,17,62.574960898455124,2.1313616173737695,0.22494491343746906
ATUL,18,61.56787329190626,1.9497740654525542,0.20720317310698333
RECLTD,19,60.95251695749028,2.2218411220677408,0.16551106078733374
CUMMINSIND,20,60.39289801716049,2.064010048726205,0.19109286413209087
SHREECEM,21,60.186723685348525,1.788804374391728,0.18776704440364683
AMBER,22,60.15811603739725,1.9856226213895687,0.1780728822135901
MEDANTA,23,59.909636657996785,1.9329178664663513,0.19685126888001822
CAMS,24,59.87601781116307,1.9512648240244843,0.19833867362405216
CANBK,25,59.720162136722074,2.156668266410706,0.22453548683031324
TATAINVEST,26,59.53566936148658,2.042176017207384,0.15267938401726003
SAMMAANCAP,27,59.49179256725446,1.9138044658086513,0.19209347317843506
BANDHANBNK,28,59.425901919009846,1.979788461226014,0.20136965579374158
ENGINERSIN,29,59.300370834912314,2.052392937779916,0.18203753286556856
COALINDIA,30,59.195585025321904,2.0862410930728,0.17707088172436417
JUSTDIAL,31,58.71292601387648,1.9866412213740454,0.19395355654192867
BAJAJ-AUTO,32,58.55182258258003,2.009064932087314,0.19385815849721666
PPLPHARMA,33,58.333389546331674,1.949085449085449,0.18238712032573914
SONACOMS,34,58.15572367540803,1.865539485943868,0.1978952057829194
SBIN,35,57.89512563412042,2.0554541208441246,0.20539469795742027
ADANIPORTS,36,57.83466434925717,2.064155106575559,0.1883185907478661
HEG,37,57.70641260731078,1.9254307542262679,0.17789314767926742
GSFC,38,57.46399991212273,2.01765904868414,0.20252835554561094
NCC,39,57.23297518296799,1.9582165144252515,0.1729222534938265
LINDEINDIA,40,57.0730879357683,1.8798576693353664,0.18060220898974222
GODREJPROP,41,57.00615074808859,1.8900602409638558,0.19489663600152815
DOMS,42,56.90048373925641,1.8031717214036884,0.17605177750199386
POLICYBZR,43,56.579379150167284,1.929264416046791,0.19040975005963195
TATATECH,44,56.472324813593886,1.8421183387851452,0.18110462569077018
UNIONBANK,45,56.417869077478564,2.001714836911865,0.1897869468906337
INDIANB,46,56.15626611585844,1.952405203145365,0.17716507825724084
DBL,47,56.15489456017471,1.8592265943012214,0.16609347382959003
ZEEL,48,56.137289328709656,2.0085065558042836,0.19787798067888931
TATASTEEL,49,56.02084135464428,1.8820932716269139,0.1962495598776453
IEX,50,56.014310353379805,1.9924272871496602,0.19687797726064712
