ticker,total_trades,total_pnl,avg_return_pct,win_rate,profit_factor,risk_reward_ratio,sharpe_like_ratio,avg_return_pct_score,win_rate_score,profit_factor_score,composite_score,rank
KAJARIACER,1488,2041.5099999999984,0.044434275436011084,48.99193548387097,1.1806872859685882,1.2033616645742948,0.05510858372687049,90.16227551398387,83.42169844906236,95.30603269679531,90.197605267632,1
HCG,1584,453.01999999999964,0.048000492924517496,47.032828282828284,1.2049319347585647,1.303590791161615,0.05972669785710019,92.2272060079076,72.30264856418417,100.0,89.35895637162753,2
KOTAKBANK,1445,2123.2000000000007,0.02309993724142957,51.280276816608996,1.1512218270733339,1.0766487532548183,0.04702018636891474,77.80915188996079,96.40933966583742,89.60127277940575,88.10605657850176,3
AXISBANK,1464,1384.5000000000032,0.02487695213610347,50.47814207650273,1.1400642104177896,1.0984109848680192,0.04407454129733192,78.8380886432561,91.8567678694148,87.4410646354763,86.18488280799178,4
GODFRYPHLP,1380,14623.150000000001,0.06142441879065443,45.0,1.1747286838197646,1.426321139452661,0.04726014048502391,100.0,60.765189525633836,94.1523973564085,85.89051580025355,5
HDFCAMC,1459,5190.539999999995,0.028822915667218528,50.23989033584647,1.131700046009718,1.1100850383096688,0.03943209252167466,81.12290173992535,90.50455345863314,85.82169227045576,85.81691346774986,6
NH,1513,1535.849999999993,0.031458484442831613,49.768671513549236,1.1251241478268486,1.1146648263995071,0.03835098900663928,82.64896299421974,87.83011808877289,84.5485432416955,84.963141621576,7
UBL,1527,2128.3499999999995,0.023919329919127624,50.36018336607727,1.1207984150282169,1.0843615354759342,0.03750443865332516,78.28360105974072,91.18728496165024,83.71104509952518,84.32568384622735,8
HINDUNILVR,1481,2846.350000000002,0.01920931894924748,50.57393652937204,1.125739608459506,1.0896678453045952,0.03808356921931361,75.55638509218791,92.40045598386898,84.66770158096985,84.25413295520501,9
KIRLOSBROS,1420,2581.4,0.051054994911529,46.97183098591549,1.1275287284177569,1.2458600792262173,0.03750311863201688,93.99584023087874,71.95645414110456,85.01409020710713,83.79132439443785,10
COROMANDEL,1516,2440.169999999996,0.020102329629886537,51.91292875989446,1.0819329540733613,0.9884495476222958,0.025791598426718982,76.07346095528213,100.0,76.18636596202026,83.29658467139275,11
ARTEMISMED,1534,296.9199999999995,0.04984546380218679,46.61016949152542,1.1275843463252946,1.2143216037349327,0.036296710483471634,93.29549100117538,69.90381904516772,85.02485830037654,82.96973633405355,12
FORTIS,1451,690.5700000000018,0.025763416153681766,50.310130944176436,1.0989163500380106,1.0522500392829717,0.030338068546349635,79.35137382217832,90.90320894188054,79.47449383081415,82.86617236154332,13
EICHERMOT,1415,5087.19,0.02219372862606965,49.96466431095406,1.1075135895774086,1.0996811030881766,0.03333017413269477,77.28443408748689,88.94248891271823,81.13899149565297,82.32367349832273,14
NEWGEN,1409,2032.4999999999993,0.04586518485018549,46.55784244144783,1.1252341011618874,1.2384436296324433,0.035016825564642924,90.99080840433453,69.60683321415677,84.56983112934533,82.00722493728551,15
ESCORTS,1422,5606.800000000003,0.02303281068529101,49.929676511954995,1.0953899693330973,1.0923043637856804,0.028574178112382945,77.77028390920265,88.7439132134274,78.79175695675565,81.47096191949129,16
