trade_date,ARTEMISMED,EIHOTEL,VEDL,VBL,AADHARHFC,BERGEPAINT,EMAMILTD,CREATIVE,HCG,AUBANK,CCL,NEWGEN,FORTIS,INTELLECT,AXISBANK,BHARATFORG,MAXHEALTH,KAJARIACER,WHIRLPOOL,HCLTECH,INFY,NH,BHARTIHEXA,ICICIGI,UBL,GLENMARK,KIRLOSBROS,KOTAKBANK
2022-01-03,0.058409279204629794,0.24238698256649668,0.1325381047051044,-0.593723494486853,0.0,0.02699625844052589,0.36688617121356515,-0.5396254364617548,1.9521336760753516,0.4399141569646159,-0.058241119809728424,-0.16534538696437728,0.158391193311432,-0.3224345563289599,1.4737150817508482,0.16069788421344913,-0.24572768904277398,0.5408479606625105,-0.09663295123772953,-0.30385484545245034,-0.08172718346525776,-0.011050449574839805,0.0,0.2649152455707293,0.07879639277917905,-0.3804451207913284,-0.9331772787409265,0.19709363403929148
2022-01-04,1.252847380410027,0.1962323390894749,-1.8927973199329928,-0.16990618718941697,0.0,0.08524488530687879,0.19157088122605526,0.0,-0.08090614886731018,0.3213072615441126,-0.31447338461277896,-0.37061883576959276,-0.260019698730396,-0.061266167460860554,0.5556742893780608,0.9035511662113693,-0.6950028719126977,0.08410281775784734,0.2469828795958584,-0.3838997210375339,0.0031149528863350096,1.0204081632652962,0.0,0.22845976053322836,-0.31318656802054035,-0.8437200383509036,0.2540346682606054,0.6270447110141797
2022-01-05,1.5116279069767424,0.31704814522494074,-0.01712328767123905,-0.19189765458422214,0.0,-0.03056001222401239,-0.1638352707138968,0.579206487112649,0.878844946641566,5.0262237762237705,0.07095553453169146,0.5428650185188011,-1.0367892976588688,-0.027693159789543564,1.4784192825112008,0.013981464491822729,-1.7717930545712246,0.10553691907579932,-0.4283889054654988,0.14185674429074147,-0.4733478438901595,-0.160812865029214,0.0,0.15345446936141371,0.3451697015270594,-0.12470033389060942,-0.30550373134328734,0.5854863834130031
2022-01-06,-0.46834105301397644,0.23997048072715485,0.8142493638676696,-2.939904885430178,0.0,0.10013094046059656,-0.26339327646170974,0.0,-0.3926654617199432,-0.42955326460480947,0.15693531354785684,0.9099908013199043,0.0522921387484665,0.24343369184333108,0.5181850837588042,0.996837618589308,0.0,0.15003750937734317,-0.08273876155724946,-0.15503875968991832,-1.0402085906408676,-2.0493712156497534,0.0,-0.06559832451413783,0.1546912488950669,-0.11390630538259024,0.7556675062972307,-0.3049721066483213
2022-01-07,-0.1136363636363602,0.19655777648648712,-0.3213873629752839,0.3759698535556355,0.0,0.1910950356278862,0.11801432777536942,0.043554006968649084,-0.5723074511647941,-0.016739203213933518,0.10751403655477887,-1.6855753646677463,0.15212035225846687,-0.23168165856876088,0.2531391239688263,0.27041570055563735,-1.6652275811027462,-0.635248928940757,2.0055248618784605,-0.041954999139787175,-0.054350301169642234,1.3602798289933826,0.0,-0.04243946697866097,-0.028349135351357635,-0.06760363525361764,-1.924876353428684,0.17368628797673757
2022-01-10,3.3370411568409253,1.322957198443575,-0.00926365633884263,-0.06616674018526392,0.0,-0.37459547043897645,-0.008205767687197163,1.695058188564702,0.3299355334978826,0.7907393820820063,0.8057923624897878,0.31007751937983663,0.0,0.11970094001153564,0.5704584040747029,0.8508673570345016,-0.726332489931697,-0.5153678836518572,-0.16700336700335994,-0.0775259410148943,2.060586158771849,-0.21076510072483567,0.0,0.19256612649583005,-0.012856051054003595,-0.1844481118337904,1.1934291254807605,0.6507196959837591
2022-01-11,0.0,-0.22857142857143353,0.2736193890854999,1.5551067602180724,0.0,-0.022544498618037867,0.14784151389710676,0.39734025300031117,-0.06199628022317549,0.3911444887741533,0.12853470437017567,0.4368174726989027,-0.6824146981627255,-1.7218543046357615,0.04699563611949564,-0.12974375608173494,-0.9355246523388039,0.016949607974031666,0.2888317127400897,2.408533088656961,-0.1101061295484207,0.27977315689980964,0.0,-0.49058835809470125,0.1802952070885433,0.0717834230476444,2.096627164995435,0.22827593731279036
2022-01-12,1.673640167364021,-0.6350392230108248,-0.12874272740173165,2.17300459674048,0.0,-0.16234625590511773,-0.32799920485041545,0.30864197530864335,-0.9245942058763057,0.0,-0.023649048125817806,0.27932960893854997,0.9007448467001744,-0.9092744779890305,0.3627010804668318,0.453281013964113,0.2256770310932632,0.10026232180883943,-0.2700194821449342,0.0,0.1838372088897644,-0.41366889997427697,0.0,-0.07604141512158602,1.085376765366064,-0.949731389102082,-0.5417315722644811,0.452882327354609
2022-01-13,0.5272171145842108,0.4868913857677848,1.7006802721088343,-0.20661157024793875,0.0,-0.15577812606961117,-0.2229665021710514,-0.1353285754301122,-0.061855670103094784,0.10735199988435307,-1.201446401493056,-0.583780372357201,0.0868357068426473,-0.46399775086713446,-0.38365753516861334,-0.7988475641697246,-0.09153283079492702,-0.9315794527736898,-0.28151670835562803,-0.09869381588070898,-0.5263157894736858,-0.7436399217221168,0.0,-0.2148358864688782,0.4858324029089589,0.7375478927203138,-0.5497382198952905,0.0
2022-01-14,0.10481971009863589,0.5573165266797409,-0.48024127966384,0.8019622948030325,0.0,-0.44732376985963107,-0.059910134797802606,1.790637943322615,0.00021128896630639993,-2.1885391694377865,0.13114038789724392,0.29703558182254675,-0.5645301372242506,-0.6457320021322044,-1.128388606027253,0.4310407279412935,-2.117122694069584,0.13245520438573966,1.5709642470205898,-0.29855028804208206,1.1113732274383503,-0.1845906902086636,0.0,-0.30109042526028085,-0.05126967850896946,-0.6750241080038522,0.5568937109025951,0.16821145189771514
2022-01-17,-0.3135925903208048,-0.2557544757033181,-0.05291005291004902,1.484155635780171,0.0,0.24966103378054605,0.0001457057521488577,-2.152129644040041,-0.797448165869219,0.15304975341712268,-0.6488909863142989,0.062073246430793816,0.36547163243996206,1.0496050124911394,0.23878081325934275,0.6486766995329463,-0.03796987723073686,0.2087567266547241,0.04998679370987191,0.9051036682615532,-0.005155037760651293,0.03956322202880447,0.0,1.9873595505617958,-0.013312410992801412,0.06879368002741248,-0.44992929682478033,0.03707261811070062
2022-01-18,-1.5873015873015928,-1.1096533291790556,-0.6556796030480094,-0.7821104191602812,0.0,-1.0083398689391176,-0.0699370566490054,0.7875337977981086,-0.12253165581266323,-0.73135139414649,-0.20838156980782507,-1.6253052298518644,-0.5566664591607651,-1.4674088023045855,1.0999721526037343,-0.7675006580241339,0.08897928053894777,0.3549122567144458,-1.176845628669343,0.16107598759715902,-0.492368291482026,-0.2752107790432279,0.0,0.24010179348563643,-0.46640235857613177,-0.651935873618148,-0.06127741756282723,-0.2369058041922112
2022-01-19,1.4428412874583962,1.4202476329206126,-0.23267517675997773,0.09603708462449696,0.0,-0.12673267326731574,-2.04372140315201,-0.8339272986457646,-0.16000015817325686,1.196594924510097,-0.8581235697940448,2.203584936688041,0.017458100558664924,0.028486022580515025,-0.12415966462353545,0.6618133686300487,0.46034460081547657,-0.614475731803347,0.24734094395661987,-0.6699751861042103,0.0661795849216329,-0.02920379479158519,0.0,-0.9669086847249431,0.6999533364442367,0.8850457782299204,-0.013296104241455886,-0.6021125846720765
2022-01-20,0.11148272017836858,-0.6648252826310375,0.45831129913627144,0.05989597099874677,0.0,0.3239653357090866,0.2414698162729545,0.7220582799200459,0.05446557849246488,-0.08392039030082898,2.1839611740235743,-0.14839241549875481,-0.35211267605633756,0.2704303803642061,-0.15433778669716366,0.03326237360297135,-0.18104228630544394,0.2522068095838659,-0.6062583258570564,-0.595539787126198,-0.3235981943764621,0.11779224019041745,0.0,2.058468046532713,0.47742378381752104,-0.12158013599706807,-0.02703433360367047,0.09223390518353636
2022-01-21,0.9049773755656076,0.6188135270738249,0.23878149911476243,0.06570797186755128,0.0,0.23462528922021386,-0.1521640748489872,0.4519559892206759,-0.35246615948363685,0.6830654275336615,3.4517314330252846,0.2974223397224085,0.7952286282306265,0.26289845547158297,-0.39778954527661115,1.0927107370707123,-0.14600477833820458,-0.8359097675483818,-0.08760833854473682,-0.11568123393315144,0.1756293384628238,0.07834534628643475,0.0,0.3444407484306855,0.01869741352444887,-0.3572059527822691,0.8883549910283358,-0.16762692475703056
2022-01-24,0.5861664712778492,-1.5549790808215835,-0.573991031390142,0.04188547992252101,0.0,-0.5563282336578546,0.12693039983076027,-6.535714285714289,0.4293600490697047,0.37972164859748636,0.30124551001647903,-2.159526297457348,0.5016722408026641,0.049136599747301446,0.3044894490865202,0.3859939343810348,-2.4703023758099296,1.4001444275054231,1.0622365209673967,0.2885750513750951,-0.3531757334092833,-0.047188360204475366,0.0,-0.00735321151513757,0.2820005834494932,-1.2512820512820544,-4.036422941016571,0.04962349102279329
