Trade Type,Entry Time,Entry Price,High During Trade,Low During Trade,High Time,Low Time,Exit Time,Exit Price,Profit (Currency),Profit (%),Trade Duration (min),PnL,Target (%),Drawdown (%),RRR,Recovery Time (min),ticker,strategy_generated,risk_processed
Buy,2022-04-05 09:30:00+05:30,297.25,297.25,297.0,2022-04-05 09:30:00+05:30,2022-04-05 09:35:00+05:30,2022-04-05 09:35:00+05:30,297.0,-0.25,-0.0841042893187552,5.0,0.0,0.0,0.08,-1.0,0.0,ABFRL,True,False
Sell,2022-04-05 09:40:00+05:30,297.3,297.75,296.3,2022-04-05 11:00:00+05:30,2022-04-05 10:10:00+05:30,2022-04-05 11:05:00+05:30,297.55,-0.25,-0.0840901446350487,85.0,0.0,0.34,0.15,-0.56,5.0,ABFRL,True,False
Buy,2022-04-05 11:35:00+05:30,299.8,300.1,299.05,2022-04-05 12:45:00+05:30,2022-04-05 12:20:00+05:30,2022-04-05 12:50:00+05:30,299.45,-0.3500000000000227,-0.1167444963308948,75.0,0.0,0.1,0.25,-0.47,30.0,ABFRL,True,False
Buy,2022-04-05 13:20:00+05:30,300.1,312.95,300.1,2022-04-05 14:10:00+05:30,2022-04-05 13:20:00+05:30,2022-04-05 15:05:00+05:30,311.0,10.899999999999975,3.632122625791395,105.0,0.0,4.28,0.0,,105.0,ABFRL,True,False
Buy,2022-04-06 10:20:00+05:30,314.2,315.75,314.05,2022-04-06 10:25:00+05:30,2022-04-06 10:35:00+05:30,2022-04-06 10:50:00+05:30,315.25,1.0500000000000114,0.3341820496499081,30.0,0.0,0.49,0.05,7.0,15.0,ABFRL,True,False
Buy,2022-04-06 10:55:00+05:30,314.3,314.65,314.15,2022-04-06 11:00:00+05:30,2022-04-06 11:05:00+05:30,2022-04-06 11:05:00+05:30,314.15,-0.1500000000000341,-0.0477251034044015,10.0,0.0,0.11,0.05,-1.0,0.0,ABFRL,True,False
Buy,2022-04-06 12:20:00+05:30,318.5,318.5,316.4,2022-04-06 12:20:00+05:30,2022-04-06 12:45:00+05:30,2022-04-06 12:50:00+05:30,316.75,-1.75,-0.5494505494505495,30.0,0.0,0.0,0.66,-0.83,5.0,ABFRL,True,False
Sell,2022-04-07 13:05:00+05:30,314.3,315.05,307.3,2022-04-07 13:20:00+05:30,2022-04-07 14:10:00+05:30,2022-04-07 14:35:00+05:30,313.3,1.0,0.3181673560292714,90.0,0.0,2.23,0.24,1.33,75.0,ABFRL,True,False
Sell,2022-04-08 09:45:00+05:30,309.5,309.95,306.95,2022-04-08 09:55:00+05:30,2022-04-08 10:15:00+05:30,2022-04-08 10:50:00+05:30,309.05,0.4499999999999886,0.1453957996768945,65.0,0.0,0.82,0.15,1.0,55.0,ABFRL,True,False
Sell,2022-04-11 11:05:00+05:30,307.65,308.45,307.25,2022-04-11 11:35:00+05:30,2022-04-11 11:15:00+05:30,2022-04-11 11:35:00+05:30,308.45,-0.8000000000000114,-0.2600357549163047,30.0,0.0,0.13,0.26,-1.0,0.0,ABFRL,True,False
Sell,2022-04-11 12:35:00+05:30,307.35,307.4,305.6,2022-04-11 13:15:00+05:30,2022-04-11 12:55:00+05:30,2022-04-11 13:20:00+05:30,307.05,0.3000000000000113,0.0976085895558846,45.0,0.0,0.57,0.02,6.0,5.0,ABFRL,True,False
Sell,2022-04-12 09:15:00+05:30,303.55,303.55,295.85,2022-04-12 09:15:00+05:30,2022-04-12 10:25:00+05:30,2022-04-12 10:50:00+05:30,297.65,5.900000000000034,1.9436666117608412,95.0,0.0,2.54,0.0,,95.0,ABFRL,True,False
Sell,2022-04-12 13:20:00+05:30,293.4,295.15,291.6,2022-04-12 14:05:00+05:30,2022-04-12 13:45:00+05:30,2022-04-12 14:05:00+05:30,295.15,-1.75,-0.5964553510565781,45.0,0.0,0.61,0.6,-1.0,0.0,ABFRL,True,False
Buy,2022-04-13 09:50:00+05:30,301.2,303.1,301.2,2022-04-13 10:15:00+05:30,2022-04-13 09:50:00+05:30,2022-04-13 11:05:00+05:30,301.45,0.25,0.0830013280212483,75.0,0.0,0.63,0.0,,75.0,ABFRL,True,False
Sell,2022-04-13 13:50:00+05:30,298.45,299.75,298.45,2022-04-13 14:00:00+05:30,2022-04-13 13:50:00+05:30,2022-04-13 14:05:00+05:30,299.1,-0.6500000000000341,-0.2177919249455634,15.0,0.0,0.0,0.44,-0.5,5.0,ABFRL,True,False
Sell,2022-04-13 14:35:00+05:30,298.15,298.15,293.35,2022-04-13 14:35:00+05:30,2022-04-13 15:10:00+05:30,2022-04-13 15:15:00+05:30,293.35,4.7999999999999545,1.6099278886466393,40.0,0.0,1.61,0.0,,40.0,ABFRL,True,False
Sell,2022-04-18 09:15:00+05:30,287.25,293.9,287.25,2022-04-18 09:30:00+05:30,2022-04-18 09:15:00+05:30,2022-04-18 10:35:00+05:30,292.45,-5.199999999999989,-1.810269799825932,80.0,0.0,0.0,2.32,-0.78,65.0,ABFRL,True,False
