timestamp,open,high,low,close,volume,open_interest
2025-09-03 12:10:00+05:30,1075.6,1078.0,1074.9,1075.5,72659,0
2025-09-03 12:15:00+05:30,1075.9,1078.5,1074.2,1078.2,63999,0
2025-09-03 12:20:00+05:30,1078.2,1079.5,1077.4,1078.9,61418,0
2025-09-03 12:25:00+05:30,1079.0,1079.9,1077.1,1078.0,32276,0
2025-09-03 12:30:00+05:30,1078.3,1079.1,1074.7,1075.4,40312,0
2025-09-03 12:35:00+05:30,1075.3,1077.5,1075.0,1076.8,18741,0
2025-09-03 12:40:00+05:30,1076.9,1077.1,1075.3,1075.4,9858,0
2025-09-03 12:45:00+05:30,1075.5,1077.2,1074.6,1074.9,25696,0
2025-09-03 12:50:00+05:30,1074.9,1075.1,1072.0,1073.1,27874,0
2025-09-03 12:55:00+05:30,1073.4,1074.7,1071.0,1071.7,45961,0
2025-09-03 13:00:00+05:30,1071.7,1074.8,1071.4,1073.9,20384,0
2025-09-03 13:05:00+05:30,1074.3,1075.2,1073.7,1074.1,18809,0
2025-09-03 13:10:00+05:30,1074.6,1074.8,1072.5,1072.5,24610,0
2025-09-03 13:15:00+05:30,1072.9,1074.4,1072.5,1073.9,29017,0
2025-09-03 13:20:00+05:30,1074.3,1075.2,1073.4,1074.2,18904,0
2025-09-03 13:25:00+05:30,1074.2,1076.1,1074.2,1076.1,19339,0
2025-09-03 13:30:00+05:30,1076.3,1076.9,1075.2,1075.8,26734,0
2025-09-03 13:35:00+05:30,1075.9,1075.9,1074.4,1075.0,18818,0
2025-09-03 13:40:00+05:30,1075.2,1077.4,1075.0,1077.0,28095,0
2025-09-03 13:45:00+05:30,1077.1,1077.5,1076.3,1076.8,15135,0
2025-09-03 13:50:00+05:30,1077.0,1077.0,1074.0,1074.1,23487,0
2025-09-03 13:55:00+05:30,1074.4,1074.9,1073.1,1073.8,29294,0
2025-09-03 14:00:00+05:30,1073.7,1074.6,1073.0,1074.1,34181,0
2025-09-03 14:05:00+05:30,1074.5,1075.6,1073.5,1074.7,37861,0
2025-09-03 14:10:00+05:30,1074.6,1075.8,1071.0,1071.0,53397,0
2025-09-03 14:15:00+05:30,1071.4,1072.5,1070.6,1071.3,51560,0
2025-09-03 14:20:00+05:30,1071.3,1072.7,1071.0,1072.5,48780,0
2025-09-03 14:25:00+05:30,1072.5,1075.2,1070.8,1074.4,67401,0
2025-09-03 14:30:00+05:30,1074.5,1075.0,1072.6,1073.9,42120,0
2025-09-03 14:35:00+05:30,1073.9,1074.8,1072.8,1074.1,33374,0
2025-09-03 14:40:00+05:30,1074.2,1074.3,1070.6,1071.2,53602,0
2025-09-03 14:45:00+05:30,1071.2,1072.5,1071.1,1072.1,57033,0
2025-09-03 14:50:00+05:30,1072.1,1074.9,1071.9,1074.8,50267,0
2025-09-03 14:55:00+05:30,1074.7,1075.0,1071.7,1072.7,51643,0
2025-09-03 15:00:00+05:30,1072.3,1074.0,1071.5,1072.1,74725,0
2025-09-03 15:05:00+05:30,1071.5,1072.9,1070.3,1070.5,73369,0
2025-09-03 15:10:00+05:30,1070.5,1072.9,1070.3,1072.7,99300,0
2025-09-03 15:15:00+05:30,1072.9,1073.8,1071.6,1073.0,101889,0
2025-09-03 15:20:00+05:30,1072.9,1073.5,1072.1,1073.1,66098,0
2025-09-03 15:25:00+05:30,1073.2,1075.7,1072.5,1074.7,52041,0
2025-09-04 09:15:00+05:30,1075.0,1076.4,1067.1,1068.1,33520,0
2025-09-04 09:20:00+05:30,1068.2,1069.7,1066.1,1069.7,17112,0
2025-09-04 09:25:00+05:30,1069.8,1070.0,1068.1,1069.5,10860,0
2025-09-04 09:30:00+05:30,1069.5,1072.2,1069.3,1071.4,16688,0
2025-09-04 09:35:00+05:30,1072.4,1072.6,1068.6,1069.6,22647,0
2025-09-04 09:40:00+05:30,1069.5,1070.4,1066.2,1067.8,25569,0
2025-09-04 09:45:00+05:30,1067.5,1069.0,1067.0,1068.7,6800,0
2025-09-04 09:50:00+05:30,1068.4,1070.9,1068.1,1070.7,8533,0
2025-09-04 09:55:00+05:30,1070.2,1070.3,1067.6,1069.6,13961,0
2025-09-04 10:00:00+05:30,1070.0,1070.5,1068.5,1068.9,8559,0
2025-09-04 10:05:00+05:30,1069.2,1069.6,1067.5,1068.7,8017,0
2025-09-04 10:10:00+05:30,1067.6,1068.5,1067.0,1067.2,14358,0
2025-09-04 10:15:00+05:30,1067.1,1067.5,1066.3,1067.3,6817,0
2025-09-04 10:20:00+05:30,1067.5,1068.0,1066.5,1068.0,5888,0
2025-09-04 10:25:00+05:30,1067.7,1068.1,1067.3,1067.9,3358,0
2025-09-04 10:30:00+05:30,1068.3,1069.8,1068.0,1069.4,5327,0
2025-09-04 10:35:00+05:30,1069.7,1070.0,1068.6,1069.2,6069,0
