timestamp,open,high,low,close,volume,open_interest
2025-09-11 12:10:00+05:30,1972.5,1974.0,1971.7,1973.9,20563,0
2025-09-11 12:15:00+05:30,1973.9,1975.0,1972.3,1975.0,15373,0
2025-09-11 12:20:00+05:30,1974.7,1978.0,1974.2,1977.0,24255,0
2025-09-11 12:25:00+05:30,1977.7,1980.6,1977.1,1980.0,50902,0
2025-09-11 12:30:00+05:30,1979.8,1981.0,1978.9,1979.4,28542,0
2025-09-11 12:35:00+05:30,1979.6,1980.4,1977.1,1978.5,41333,0
2025-09-11 12:40:00+05:30,1978.1,1980.1,1977.8,1979.9,32832,0
2025-09-11 12:45:00+05:30,1979.3,1980.9,1977.8,1978.5,20953,0
2025-09-11 12:50:00+05:30,1978.4,1979.0,1976.6,1977.6,15738,0
2025-09-11 12:55:00+05:30,1977.6,1979.0,1976.9,1977.9,15041,0
2025-09-11 13:00:00+05:30,1977.7,1980.0,1977.1,1979.5,17145,0
2025-09-11 13:05:00+05:30,1979.5,1980.5,1978.0,1978.4,16871,0
2025-09-11 13:10:00+05:30,1978.4,1979.3,1976.7,1977.5,8618,0
2025-09-11 13:15:00+05:30,1977.5,1977.9,1975.4,1976.0,12208,0
2025-09-11 13:20:00+05:30,1976.0,1977.4,1974.0,1977.4,24290,0
2025-09-11 13:25:00+05:30,1977.4,1978.0,1976.1,1977.6,11083,0
2025-09-11 13:30:00+05:30,1977.9,1978.1,1976.2,1977.5,11948,0
2025-09-11 13:35:00+05:30,1977.5,1978.1,1975.7,1976.3,10863,0
2025-09-11 13:40:00+05:30,1975.7,1976.8,1974.7,1976.1,23047,0
2025-09-11 13:45:00+05:30,1976.0,1977.6,1974.6,1976.4,17037,0
2025-09-11 13:50:00+05:30,1976.3,1977.6,1975.1,1976.4,14893,0
2025-09-11 13:55:00+05:30,1976.3,1976.4,1974.4,1975.9,12550,0
2025-09-11 14:00:00+05:30,1976.0,1979.6,1975.0,1978.8,26365,0
2025-09-11 14:05:00+05:30,1978.8,1980.0,1978.3,1979.9,26156,0
2025-09-11 14:10:00+05:30,1979.9,1981.9,1978.7,1981.6,63284,0
2025-09-11 14:15:00+05:30,1981.5,1983.3,1981.0,1983.2,103732,0
2025-09-11 14:20:00+05:30,1983.0,1984.5,1982.2,1984.3,67584,0
2025-09-11 14:25:00+05:30,1984.3,1985.0,1982.1,1982.4,70775,0
2025-09-11 14:30:00+05:30,1982.7,1982.7,1978.3,1980.4,40035,0
2025-09-11 14:35:00+05:30,1980.4,1981.9,1979.4,1981.7,57982,0
2025-09-11 14:40:00+05:30,1981.6,1981.9,1978.9,1980.1,42326,0
