timestamp,open,high,low,close,volume,open_interest
2025-09-10 11:45:00+05:30,366.0,367.45,365.35,367.15,69843,0
2025-09-10 12:00:00+05:30,367.3,367.35,366.1,367.2,45415,0
2025-09-10 12:15:00+05:30,367.2,367.85,366.7,367.1,37243,0
2025-09-10 12:30:00+05:30,367.1,367.15,366.0,366.2,42776,0
2025-09-10 12:45:00+05:30,366.2,366.4,365.35,365.9,51807,0
2025-09-10 13:00:00+05:30,365.85,366.0,364.6,364.85,66147,0
2025-09-10 13:15:00+05:30,364.9,365.0,363.25,363.5,87536,0
2025-09-10 13:30:00+05:30,363.4,364.35,363.0,363.85,54729,0
2025-09-10 13:45:00+05:30,363.85,364.3,363.7,364.05,37634,0
2025-09-10 14:00:00+05:30,364.15,364.3,363.65,363.65,47780,0
2025-09-10 14:15:00+05:30,363.65,363.9,363.0,363.3,73002,0
2025-09-10 14:30:00+05:30,363.5,364.2,363.1,363.5,50626,0
2025-09-10 14:45:00+05:30,363.45,364.15,363.45,363.45,59508,0
2025-09-10 15:00:00+05:30,363.65,364.55,363.35,363.95,87210,0
2025-09-10 15:15:00+05:30,364.0,365.2,363.85,364.6,111437,0
2025-09-11 09:15:00+05:30,364.2,369.25,364.2,366.5,223503,0
2025-09-11 09:30:00+05:30,366.5,366.8,365.5,366.7,89839,0
2025-09-11 09:45:00+05:30,366.7,367.8,366.15,367.3,44235,0
2025-09-11 10:00:00+05:30,367.3,367.4,365.1,365.95,106392,0
2025-09-11 10:15:00+05:30,366.0,366.2,365.55,365.9,39905,0
2025-09-11 10:30:00+05:30,365.9,366.15,365.5,365.85,27879,0
2025-09-11 10:45:00+05:30,365.85,366.05,365.3,365.3,21016,0
2025-09-11 11:00:00+05:30,365.4,366.15,365.1,366.15,25696,0
2025-09-11 11:15:00+05:30,366.15,366.3,365.8,365.8,24327,0
2025-09-11 11:30:00+05:30,365.8,365.9,363.2,363.4,85328,0
2025-09-11 11:45:00+05:30,363.35,364.15,363.35,364.05,33936,0
2025-09-11 12:00:00+05:30,364.05,364.35,363.95,363.95,44174,0
2025-09-11 12:15:00+05:30,364.1,364.2,363.6,364.05,20859,0
2025-09-11 12:30:00+05:30,364.2,364.2,363.1,363.5,40270,0
2025-09-11 12:45:00+05:30,363.4,363.85,363.0,363.5,21886,0
2025-09-11 13:00:00+05:30,363.5,363.5,363.0,363.4,47155,0
2025-09-11 13:15:00+05:30,363.3,363.4,363.05,363.3,12687,0
2025-09-11 13:30:00+05:30,363.3,363.85,363.2,363.7,19538,0
2025-09-11 13:45:00+05:30,363.55,364.25,363.5,363.9,29214,0
2025-09-11 14:00:00+05:30,363.8,363.9,362.55,363.2,69194,0
2025-09-11 14:15:00+05:30,363.15,365.55,362.95,365.15,158268,0
2025-09-11 14:30:00+05:30,365.15,365.15,364.15,364.55,124849,0
2025-09-11 14:45:00+05:30,364.55,364.85,364.15,364.45,127726,0
2025-09-11 15:00:00+05:30,364.45,364.6,363.65,364.4,163500,0
2025-09-11 15:15:00+05:30,364.4,364.5,363.05,363.05,154213,0
2025-09-12 09:15:00+05:30,364.05,365.5,363.2,365.15,105792,0
2025-09-12 09:30:00+05:30,365.35,366.2,365.1,365.1,59974,0
2025-09-12 09:45:00+05:30,365.05,366.3,364.55,365.0,69899,0
2025-09-12 10:00:00+05:30,365.0,366.3,365.0,366.3,38779,0
2025-09-12 10:15:00+05:30,366.35,366.35,365.7,365.95,17878,0
2025-09-12 10:30:00+05:30,365.95,366.15,365.75,366.05,14922,0
2025-09-12 10:45:00+05:30,366.1,366.8,365.1,365.25,93923,0
2025-09-12 11:00:00+05:30,365.25,365.65,364.8,365.5,26970,0
2025-09-12 11:15:00+05:30,365.5,366.0,365.2,365.9,23101,0
2025-09-12 11:30:00+05:30,365.9,365.9,365.75,365.9,2057,0
2025-09-12 11:45:00+05:30,366.25,366.25,365.5,365.7,18556,0
2025-09-12 12:00:00+05:30,365.6,365.7,364.9,365.15,13937,0
2025-09-12 12:15:00+05:30,365.15,365.5,364.45,365.45,27991,0
2025-09-12 12:30:00+05:30,365.45,366.1,365.25,366.05,25930,0
2025-09-12 12:45:00+05:30,366.05,366.05,365.05,365.35,19307,0
2025-09-12 13:00:00+05:30,365.35,365.35,364.85,365.35,20121,0
2025-09-12 13:15:00+05:30,365.2,366.0,365.1,366.0,36822,0
2025-09-12 13:30:00+05:30,366.0,366.05,365.45,365.65,34481,0
2025-09-12 13:45:00+05:30,365.55,366.05,365.2,366.0,47099,0
2025-09-12 14:00:00+05:30,366.0,366.0,365.7,365.7,5953,0
2025-09-12 14:15:00+05:30,365.55,365.75,364.85,365.55,61339,0
2025-09-12 14:30:00+05:30,365.35,365.55,364.6,364.85,84919,0
2025-09-12 14:45:00+05:30,364.65,364.85,364.1,364.4,57016,0
2025-09-12 15:00:00+05:30,364.45,365.5,364.4,365.35,86635,0
