timestamp,open,high,low,close,volume,open_interest
2025-08-28 12:10:00+05:30,1852.4,1853.1,1852.0,1853.0,1467,0
2025-08-28 12:15:00+05:30,1852.9,1854.1,1852.6,1853.0,3302,0
2025-08-28 12:20:00+05:30,1852.6,1853.0,1851.2,1852.5,1329,0
2025-08-28 12:25:00+05:30,1852.2,1852.7,1852.2,1852.5,1370,0
2025-08-28 12:30:00+05:30,1852.5,1852.5,1851.2,1852.5,1456,0
2025-08-28 12:35:00+05:30,1852.5,1854.0,1850.5,1852.3,1767,0
2025-08-28 12:40:00+05:30,1852.2,1853.9,1852.2,1853.9,1450,0
2025-08-28 12:45:00+05:30,1854.0,1856.0,1852.3,1853.1,4059,0
2025-08-28 12:50:00+05:30,1853.1,1853.1,1852.9,1853.1,1612,0
2025-08-28 12:55:00+05:30,1852.6,1853.1,1851.4,1851.8,1426,0
2025-08-28 13:00:00+05:30,1851.8,1853.2,1851.8,1853.2,1468,0
2025-08-28 13:05:00+05:30,1853.0,1854.9,1853.0,1854.2,1346,0
2025-08-28 13:10:00+05:30,1853.3,1854.2,1853.3,1854.0,1298,0
2025-08-28 13:15:00+05:30,1854.0,1854.3,1853.7,1854.2,1484,0
2025-08-28 13:20:00+05:30,1854.2,1858.2,1851.8,1853.5,4796,0
2025-08-28 13:25:00+05:30,1853.4,1855.0,1853.1,1853.5,1608,0
2025-08-28 13:30:00+05:30,1853.5,1854.5,1853.0,1853.5,1932,0
2025-08-28 13:35:00+05:30,1853.1,1854.4,1853.1,1853.8,1356,0
2025-08-28 13:40:00+05:30,1853.8,1854.1,1853.1,1853.9,1316,0
2025-08-28 13:45:00+05:30,1853.9,1857.7,1852.0,1853.8,3299,0
2025-08-28 13:50:00+05:30,1853.8,1854.0,1853.0,1853.9,1340,0
2025-08-28 13:55:00+05:30,1853.8,1856.7,1852.0,1853.9,2232,0
2025-08-28 14:00:00+05:30,1853.7,1853.9,1853.4,1853.7,1709,0
2025-08-28 14:05:00+05:30,1853.4,1855.4,1852.9,1854.8,1591,0
2025-08-28 14:10:00+05:30,1854.8,1855.8,1854.4,1855.8,1522,0
2025-08-28 14:15:00+05:30,1855.8,1856.0,1855.3,1855.8,1477,0
2025-08-28 14:20:00+05:30,1855.5,1855.9,1854.2,1855.8,2028,0
2025-08-28 14:25:00+05:30,1855.8,1856.3,1854.9,1856.3,1361,0
2025-08-28 14:30:00+05:30,1856.3,1856.3,1855.7,1856.3,1348,0
2025-08-28 14:35:00+05:30,1856.3,1856.8,1854.8,1855.5,1670,0
2025-08-28 14:40:00+05:30,1855.5,1858.1,1855.5,1856.7,2291,0
2025-08-28 14:45:00+05:30,1856.6,1858.7,1856.6,1858.1,2726,0
2025-08-28 14:50:00+05:30,1857.4,1860.4,1857.2,1860.1,2630,0
2025-08-28 14:55:00+05:30,1860.0,1863.0,1859.9,1862.0,1761,0
2025-08-28 15:00:00+05:30,1862.0,1862.7,1857.0,1857.5,748,0
2025-08-28 15:05:00+05:30,1856.2,1857.5,1855.1,1856.3,826,0
2025-08-28 15:10:00+05:30,1856.3,1856.6,1855.2,1855.4,595,0
